,id,Hermes probability
0,CAGL0A00105g,0.985
1,CAGL0A00116g,0.98
2,CAGL0A00132g,0.885
3,CAGL0A00154g,0.95
4,CAGL0A00165g,0.115
5,CAGL0A00187g,0.485
6,CAGL0A00209g,0.915
7,CAGL0A00231g,0.1
8,CAGL0A00253g,0.01
9,CAGL0A00275g,0.57
10,CAGL0A00297g,0.175
11,CAGL0A00319g,0.0
12,CAGL0A00341g,0.065
13,CAGL0A00363g,0.0
14,CAGL0A00385g,0.005
15,CAGL0A00407g,0.835
16,CAGL0A00429g,0.02
17,CAGL0A00451g,0.005
18,CAGL0A00473g,0.045
19,CAGL0A00495g,0.845
20,CAGL0A00517g,0.1
21,CAGL0A00539g,0.005
22,CAGL0A00561g,0.05
23,CAGL0A00583g,0.0
24,CAGL0A00605g,0.04
25,CAGL0A00627g,0.035
26,CAGL0A00649g,0.035
27,CAGL0A00715g,0.01
28,CAGL0A00737g,0.0
29,CAGL0A00781g,0.035
30,CAGL0A00803g,0.435
31,CAGL0A00825g,0.005
32,CAGL0A00847g,0.665
33,CAGL0A00869g,0.03
34,CAGL0A00891g,0.03
35,CAGL0A00913g,0.07
36,CAGL0A00935g,0.185
37,CAGL0A00957g,0.06
38,CAGL0A00979g,0.005
39,CAGL0A01001g,0.02
40,CAGL0A01023g,0.655
41,CAGL0A01045g,0.015
42,CAGL0A01067g,0.085
43,CAGL0A01089g,0.05
44,CAGL0A01111g,0.03
45,CAGL0A01133g,0.0
46,CAGL0A01155g,0.94
47,CAGL0A01177g,0.64
48,CAGL0A01193g,0.08
49,CAGL0A01199g,0.02
50,CAGL0A01221g,0.02
51,CAGL0A01243g,0.015
52,CAGL0A01284g,0.09
53,CAGL0A01325g,0.315
54,CAGL0A01366g,0.015
55,CAGL0A01408g,0.82
56,CAGL0A01430g,0.0
57,CAGL0A01452g,0.295
58,CAGL0A01474g,0.585
59,CAGL0A01540g,0.395
60,CAGL0A01562g,0.34
61,CAGL0A01584g,0.015
62,CAGL0A01606g,0.035
63,CAGL0A01628g,0.0
64,CAGL0A01650g,0.025
65,CAGL0A01672g,0.945
66,CAGL0A01694g,0.02
67,CAGL0A01716g,0.005
