"Standard name","Hermes probability"
"S000002142",0.235
"S000028593",0.35
"S000000062",0
"S000002141",0.055
"S000002140",0.06
"S000000060",0.165
"S000028813",0.165
"S000000058",0
"S000000057",0
"S000000056",0
"S000000055",0
"S000000054",0.005
"S000000052",0.29
"S000000051",0
"S000000050",0
"S000000049",0
"S000000048",0
"S000000047",0
"S000000046",0
"S000000045",0.85
"S000000044",0.02
"S000007586",0
"S000000042",0.12
"S000000041",0.95
"S000000040",0
"S000000039",0.575
"S000000038",0.005
"S000000037",0
"S000000036",0.985
"S000028732",0.17
"S000000035",0
"S000000034",0.005
"S000000033",0.605
"S000000032",0.955
"S000002134",0
"S000000031",0.835
"S000000030",0.65
"S000000029",0
"S000000028",0.005
"S000000027",0
"S000000026",0
"S000000025",0.01
"S000000024",0.765
"S000000023",0.975
"S000000022",0
"S000000021",0.005
"S000000020",0
"S000000019",0.175
"S000000018",0
"S000000017",0.005
"S000000016",0
"S000000015",0
"S000000014",0.915
"S000000013",0
"S000000012",0.01
"S000000011",0.66
"S000000010",0.005
"S000000009",0
"S000000008",0.325
"S000000007",0.015
"S000000006",0.055
"S000000005",0.005
"S000000003",0.99
"S000000002",0.265
"S000000001",0.99
"S000000063",0
"S000002129",0.005
"S000000064",0.155
"S000000065",0.965
"S000000066",0.975
"S000000069",0.05
"S000000070",0.115
"S000000071",0
"S000000072",0.965
"S000000073",0.325
"S000000074",0
"S000000075",0.405
"S000000076",0
"S000000077",0.24
"S000000080",0.005
"S000028595",0.33
"S000000081",0.06
"S000000203",0
"S000000202",0
"S000000201",0.98
"S000000200",0
"S000000199",0.005
"S000000198",0.005
"S000000197",0
"S000028598",0.06
"S000000195",0.405
"S000000194",0
"S000000193",0.97
"S000000191",0.015
"S000000189",0.225
"S000000188",0.88
"S000007228",0
"S000000187",0
"S000000186",0.41
"S000000185",0
"S000000184",0
"S000000183",0
"S000000182",0.01
"S000000181",0
"S000000180",0.95
"S000000178",0.015
"S000000177",0
"S000000176",0.025
"S000000175",0.005
"S000000174",0.06
"S000000172",0.925
"S000000171",0
"S000000170",0.76
"S000028597",0.125
"S000007587",0
"S000000165",0
"S000000164",0.005
"S000000163",0
"S000000162",0
"S000000160",0
"S000000159",0.02
"S000000157",0
"S000000156",0
"S000007488",0.695
"S000000155",0.005
"S000000154",0.05
"S000000153",0
"S000000152",0
"S000000151",0
"S000000150",0
"S000000148",0
"S000000147",0.005
"S000000146",0.915
"S000000145",0.065
"S000000143",0.005
"S000000142",0
"S000000141",0.635
"S000000140",0.005
"S000000139",0
"S000000138",0
"S000000137",0.96
"S000000136",0.725
"S000028517",0.285
"S000000135",0
"S000000134",0.525
"S000000133",0
"S000000132",0
"S000000131",0.945
"S000000130",0.745
"S000000129",0.68
"S000000128",0.045
"S000000127",0
"S000000126",0.27
"S000007591",0.01
"S000000125",0
"S000000124",0.07
"S000000123",0.01
"S000000122",0.9
"S000000121",0.935
"S000000120",0
"S000000119",0.97
"S000000118",0.005
"S000000117",0.06
"S000000116",0.885
"S000000115",0
"S000000114",0.83
"S000000113",0
"S000000112",0
"S000000111",0
"S000000110",0.885
"S000000109",0
"S000000107",0.01
"S000000106",0
"S000000105",0
"S000028529",0
"S000000104",0
"S000000103",0.195
"S000000102",0
"S000000101",0.005
"S000000100",0.93
"S000000099",0.005
"S000000098",0
"S000000097",0
"S000000205",0
"S000000206",0.68
"S000000207",0
"S000000208",0.975
"S000000209",0.045
"S000000210",0
"S000000211",0.01
"S000000212",0
"S000000213",0
"S000000214",0.005
"S000000215",0.955
"S000000217",0
"S000000218",0.005
"S000000219",0
"S000000220",0.005
"S000000221",0.905
"S000000222",0.03
"S000000223",0.12
"S000000224",0
"S000000225",0.35
"S000000226",0
"S000000227",0
"S000000228",0.005
"S000000229",0
"S000000230",0
"S000000232",0
"S000000233",0.935
"S000000234",0
"S000000237",0
"S000000238",0
"S000000239",0.32
"S000000240",0.76
"S000000241",0.015
"S000000242",0.95
"S000000243",0.315
"S000000244",0.36
"S000000245",0
"S000000246",0
"S000000247",0
"S000000248",0
"S000000249",0
"S000000250",0
"S000000251",0.005
"S000000252",0
"S000000253",0.625
"S000000254",0
"S000000256",0
"S000000257",0
"S000000258",0
"S000000259",0.98
"S000000260",0
"S000028736",0.025
"S000000261",0.025
"S000000262",0
"S000007521",0.985
"S000000263",0.015
"S000000264",0.99
"S000000265",0.645
"S000000266",0
"S000000267",0
"S000000269",0
"S000000270",0.005
"S000000271",0.005
"S000000272",0.32
"S000000273",0.02
"S000000274",0.85
"S000000275",0.025
"S000000276",0.015
"S000028532",0.015
"S000000277",0
"S000000278",0
"S000000280",0
"S000000281",0
"S000000282",0.005
"S000000283",0.905
"S000000284",0.975
"S000000285",0.305
"S000000286",0
"S000000287",0
"S000000288",0
"S000002156",0.005
"S000000289",0
"S000007522",0.03
"S000000290",0.01
"S000000291",0.915
"S000000292",0.985
"S000002157",0.025
"S000000294",0
"S000000295",0.995
"S000000296",0
"S000000297",0
"S000000298",0
"S000000299",0.305
"S000000300",0.06
"S000000301",0.265
"S000000302",0.015
"S000000305",0.005
"S000000306",0.975
"S000000307",0
"S000000308",0
"S000000309",0
"S000000310",0
"S000000311",0.01
"S000000312",0
"S000000313",1
"S000000314",0.865
"S000000315",0
"S000028510",0.105
"S000000316",0.065
"S000000318",0
"S000000319",0
"S000000321",0
"S000000323",0
"S000000324",0.225
"S000000325",0.99
"S000000326",0.265
"S000000327",0.785
"S000000329",0.03
"S000000330",0.055
"S000028600",0.04
"S000000331",0.81
"S000000332",0.005
"S000000333",0
"S000000334",0
"S000000335",0.33
"S000000336",0
"S000000337",0
"S000000339",0.915
"S000000340",0.47
"S000000341",0
"S000000342",0.005
"S000000343",0
"S000000344",0.5
"S000000345",0
"S000000346",0.985
"S000000347",0.95
"S000000349",0
"S000000350",0.4
"S000000351",0.015
"S000000352",0
"S000000353",0
"S000000354",0
"S000000355",0.005
"S000000356",0.205
"S000000357",0.895
"S000000358",0.91
"S000000359",0.895
"S000000360",0.88
"S000000361",0
"S000000362",0
"S000000363",0.515
"S000000364",0.955
"S000000365",0
"S000000366",0
"S000002158",0.11
"S000000367",0
"S000000368",0.14
"S000000369",0.005
"S000000370",0.81
"S000000371",0.92
"S000000372",0.55
"S000000373",0
"S000000374",0.855
"S000000375",0.3
"S000000376",0
"S000000377",0.11
"S000000379",0.005
"S000000380",0.39
"S000000381",0
"S000000383",0.255
"S000000384",0
"S000000386",0
"S000028603",0.01
"S000000387",0.01
"S000000388",0
"S000000389",0.01
"S000000390",0
"S000000391",0
"S000000392",0.015
"S000000393",0.8
"S000000395",0.295
"S000000396",0.945
"S000000397",0.95
"S000000398",0.42
"S000000399",0
"S000000400",0.95
"S000028534",0.42
