,"id","label","chrom","start","end","Length","Hits","Hits per Kb","Reads","Hits_600_bp_upstream","Hits_600_bp_downstream","Neighbourhood Hits","Neighbourhood Index","Max Free Region","Freedom Index","target_seq_counts","600_bp_up_target_seq_counts","600_bp_down_target_seq_counts","target_per_bp","600_up_target_per_bp","600_down_target_per_bp"
0,"CAGL0A00451g",0,"ChrA_C_glabrata_CBS138",44303,51186,6884,244,35.44,10785,23,8,704,0.252,462,0.067,669,57,66,0.0972,0.095,0.11
1,"CAGL0A00583g",0,"ChrA_C_glabrata_CBS138",65093,67444,2352,46,19.56,1289,19,3,810,0.121,169,0.072,243,65,59,0.1033,0.1083,0.0983
2,"CAGL0A01133g",0,"ChrA_C_glabrata_CBS138",111841,114593,2753,36,13.08,1174,20,7,659,0.099,355,0.129,230,35,54,0.0835,0.0583,0.09
3,"CAGL0A01452g",0,"ChrA_C_glabrata_CBS138",149637,152897,3261,39,11.96,3368,12,7,432,0.138,2518,0.772,324,59,66,0.0994,0.0983,0.11
4,"CAGL0A01584g",0,"ChrA_C_glabrata_CBS138",158780,159037,258,8,31.01,110,33,4,498,0.311,91,0.353,25,77,60,0.0969,0.1283,0.1
5,"CAGL0A01628g",0,"ChrA_C_glabrata_CBS138",161187,162755,1569,104,66.28,11266,42,43,591,0.561,202,0.129,114,49,40,0.0727,0.0817,0.0667
6,"CAGL0A01892g",0,"ChrA_C_glabrata_CBS138",194560,194826,267,14,52.43,638,6,0,139,1.886,69,0.258,26,65,46,0.0974,0.1083,0.0767
7,"CAGL0A02299g",0,"ChrA_C_glabrata_CBS138",250289,252055,1767,29,16.41,1272,16,5,277,0.296,876,0.496,182,62,44,0.103,0.1033,0.0733
8,"CAGL0A02431g",0,"ChrA_C_glabrata_CBS138",261619,263642,2024,14,6.92,397,13,19,348,0.099,830,0.41,92,34,40,0.0455,0.0567,0.0667
9,"CAGL0A02486g",0,"ChrA_C_glabrata_CBS138",266016,268848,2833,15,5.29,482,9,1,244,0.108,791,0.279,202,39,50,0.0713,0.065,0.0833
10,"CAGL0A03322g",0,"ChrA_C_glabrata_CBS138",337485,340160,2676,45,16.82,3249,4,12,316,0.266,493,0.184,254,58,55,0.0949,0.0967,0.0917
11,"CAGL0A03410g",0,"ChrA_C_glabrata_CBS138",348677,349603,927,5,5.39,189,4,8,299,0.09,507,0.547,97,50,67,0.1046,0.0833,0.1117
12,"CAGL0A03476g",0,"ChrA_C_glabrata_CBS138",355510,357207,1698,26,15.31,1522,4,44,308,0.249,370,0.218,154,76,63,0.0907,0.1267,0.105
13,"CAGL0A03586g",0,"ChrA_C_glabrata_CBS138",365127,365696,570,1,1.75,49,1,2,309,0.028,382,0.67,57,56,74,0.1,0.0933,0.1233
14,"CAGL0A03696g",0,"ChrA_C_glabrata_CBS138",376860,378923,2064,26,12.60,1119,23,1,188,0.335,388,0.188,188,49,58,0.0911,0.0817,0.0967
15,"CAGL0A04081g",0,"ChrA_C_glabrata_CBS138",408037,409260,1224,15,12.25,411,20,11,204,0.3,291,0.238,63,53,29,0.0515,0.0883,0.0483
16,"CAGL0A04235g",0,"ChrA_C_glabrata_CBS138",419847,422155,2309,6,2.60,85,13,1,344,0.038,866,0.375,222,63,63,0.0961,0.105,0.105
17,"CAGL0A04411g",0,"ChrA_C_glabrata_CBS138",433151,435741,2591,25,9.65,833,16,24,386,0.125,403,0.156,235,61,45,0.0907,0.1017,0.075
18,"CAGL0A04455g",0,"ChrA_C_glabrata_CBS138",437357,441052,3696,27,7.31,1489,11,20,393,0.093,531,0.144,314,51,47,0.085,0.085,0.0783
19,"CAGL0A04587g",0,"ChrA_C_glabrata_CBS138",454047,455888,1842,24,13.03,447,11,8,261,0.25,467,0.254,172,59,49,0.0934,0.0983,0.0817
20,"CAGL0A04785g",0,"ChrA_C_glabrata_CBS138",465618,469181,3564,82,23.01,4033,0,12,301,0.382,605,0.17,316,64,56,0.0887,0.1067,0.0933
21,"CAGL0B00440g",0,"ChrB_C_glabrata_CBS138",31387,32726,1340,2,1.49,79,0,9,291,0.026,818,0.61,139,60,80,0.1037,0.1,0.1333
22,"CAGL0B00462g",0,"ChrB_C_glabrata_CBS138",33067,34149,1083,8,7.39,234,6,14,290,0.127,299,0.276,118,83,60,0.109,0.1383,0.1
23,"CAGL0B00528g",0,"ChrB_C_glabrata_CBS138",41088,45267,4180,28,6.70,898,38,1,362,0.093,772,0.185,409,51,56,0.0978,0.085,0.0933
24,"CAGL0B00572g",0,"ChrB_C_glabrata_CBS138",48898,49506,609,21,34.48,1049,14,18,335,0.515,140,0.23,48,50,41,0.0788,0.0833,0.0683
25,"CAGL0B00858g",0,"ChrB_C_glabrata_CBS138",75468,77434,1967,19,9.66,1102,16,0,293,0.165,589,0.299,194,50,52,0.0986,0.0833,0.0867
26,"CAGL0B00968g",0,"ChrB_C_glabrata_CBS138",84713,85951,1239,14,11.30,481,2,8,418,0.135,572,0.462,118,71,61,0.0952,0.1183,0.1017
27,"CAGL0B01188g",0,"ChrB_C_glabrata_CBS138",105941,108373,2433,27,11.10,1070,1,3,192,0.289,401,0.165,230,51,35,0.0945,0.085,0.0583
28,"CAGL0B01441g",0,"ChrB_C_glabrata_CBS138",130070,131617,1548,5,3.23,37,6,2,95,0.17,1029,0.665,101,43,39,0.0652,0.0717,0.065
30,"CAGL0B01969g",0,"ChrB_C_glabrata_CBS138",181088,182697,1610,49,30.43,1473,6,7,195,0.78,250,0.155,163,60,62,0.1012,0.1,0.1033
31,"CAGL0B01991g",0,"ChrB_C_glabrata_CBS138",182650,184017,1368,10,7.31,128,3,5,161,0.227,356,0.26,147,58,59,0.1075,0.0967,0.0983
32,"CAGL0B02211g",0,"ChrB_C_glabrata_CBS138",205701,212947,7247,12,1.66,185,0,0,231,0.036,2811,0.388,738,67,40,0.1018,0.1117,0.0667
33,"CAGL0B02475g",0,"ChrB_C_glabrata_CBS138",235988,238159,2172,54,24.86,6395,23,6,428,0.29,325,0.15,163,35,42,0.075,0.0583,0.07
34,"CAGL0B02651g",0,"ChrB_C_glabrata_CBS138",253437,254862,1426,85,59.61,7681,5,15,427,0.698,149,0.104,145,64,66,0.1017,0.1067,0.11
35,"CAGL0B03223g",0,"ChrB_C_glabrata_CBS138",314606,315305,700,8,11.43,156,19,30,274,0.209,240,0.343,70,70,62,0.1,0.1167,0.1033
36,"CAGL0B03355g",0,"ChrB_C_glabrata_CBS138",326414,327267,854,2,2.34,15,5,5,191,0.061,411,0.481,68,49,52,0.0796,0.0817,0.0867
37,"CAGL0B03421g",0,"ChrB_C_glabrata_CBS138",335968,341598,5631,123,21.84,7181,8,13,329,0.332,489,0.087,535,73,60,0.095,0.1217,0.1
38,"CAGL0B03575g",0,"ChrB_C_glabrata_CBS138",357472,358817,1346,8,5.94,196,1,11,562,0.053,278,0.207,114,68,50,0.0847,0.1133,0.0833
39,"CAGL0B04059g",0,"ChrB_C_glabrata_CBS138",398323,399557,1235,14,11.34,793,13,42,444,0.128,316,0.256,102,46,44,0.0826,0.0767,0.0733
40,"CAGL0B04147g",0,"ChrB_C_glabrata_CBS138",402682,405017,2336,32,13.70,677,3,1,453,0.151,450,0.193,211,53,65,0.0903,0.0883,0.1083
41,"CAGL0B04389g",0,"ChrB_C_glabrata_CBS138",427047,431370,4324,68,15.73,3246,28,14,637,0.123,339,0.078,392,56,69,0.0907,0.0933,0.115
42,"CAGL0B04521g",0,"ChrB_C_glabrata_CBS138",438927,440855,1929,20,10.37,488,27,62,936,0.055,1063,0.551,154,39,49,0.0798,0.065,0.0817
43,"CAGL0B04565g",0,"ChrB_C_glabrata_CBS138",442882,444440,1559,65,41.69,2065,25,128,1171,0.178,115,0.074,122,60,43,0.0783,0.1,0.0717
44,"CAGL0B04631g",0,"ChrB_C_glabrata_CBS138",446892,450950,4059,193,47.55,9669,2,45,1385,0.172,223,0.055,404,53,71,0.0995,0.0883,0.1183
45,"CAGL0B04895g",0,"ChrB_C_glabrata_CBS138",470627,477519,6893,386,56.00,23250,59,7,1084,0.258,289,0.042,722,60,78,0.1047,0.1,0.13
46,"CAGL0C00297g",0,"ChrC_C_glabrata_CBS138",29187,31969,2783,11,3.95,145,22,4,214,0.092,2087,0.75,283,60,74,0.1017,0.1,0.1233
47,"CAGL0C00583g",0,"ChrC_C_glabrata_CBS138",62085,63603,1519,6,3.95,160,9,16,282,0.07,724,0.477,137,62,61,0.0902,0.1033,0.1017
48,"CAGL0C00693g",0,"ChrC_C_glabrata_CBS138",72331,74194,1864,14,7.51,445,19,5,198,0.19,597,0.32,154,32,63,0.0826,0.0533,0.105
49,"CAGL0C00781g",0,"ChrC_C_glabrata_CBS138",81411,82193,783,8,10.22,283,33,0,133,0.384,350,0.447,45,60,54,0.0575,0.1,0.09
