,Standard name,Sc∆ essentiality,Sp∆ essentiality,Final usage in training,Unnamed: 0,id,chrom,start,end,Length,Hits,Reads,Hits_600_bp_upstream,Hits_600_bp_downstream,Neighbourhood Hits,Neighbourhood Index,Max Free Region,Freedom Index,target_seq_counts,600_bp_up_target_seq_counts,600_bp_down_target_seq_counts,target_per_bp,600_up_target_per_bp,600_down_target_per_bp,short name,description
0,S000001608,Ess,Ess,Essential,3701,YKL125W,chrXI,208247,210130,1884,2,19,12,44,369,0.013999999999999999,1833,0.973,184,61,74,0.0977,0.1017,0.1233,RRN3,Regulation of RNA polymerase I
1,S000001353,Ess,Ess,Essential,3049,YIL091C,chrIX,191030,193195,2166,0,0,7,3,204,0.0,2166,1.0,227,54,42,0.1048,0.09,0.07,UTP25,U Three Protein
2,S000001284,Ess,Ess,Essential,3123,YIL022W,chrIX,311165,312460,1296,0,0,21,5,275,0.0,1296,1.0,91,60,57,0.0702,0.1,0.095,TIM44,Translocase of the Inner Mitochondrial membrane
3,S000001283,Ess,Ess,Essential,3124,YIL021W,chrIX,312905,313861,957,2,10,5,13,263,0.04,941,0.983,90,52,57,0.094,0.0867,0.095,RPB3,RNA Polymerase B
4,S000003280,Ess,Ess,Essential,2377,YGR048W,chrVII,589826,590911,1086,0,0,1,18,541,0.0,1086,1.0,91,53,59,0.0838,0.0883,0.0983,UFD1,Ubiquitin Fusion Degradation protein
5,S000006014,Ess,Ess,Essential,6260,YPL093W,chrXVI,370978,372921,1944,1,2,2,47,363,0.006999999999999999,1918,0.987,172,41,57,0.0885,0.0683,0.095,NOG1,NucleOlar G-protein
6,S000000914,Ess,Ess,Essential,1823,YER112W,chrV,387232,387795,564,3,14,13,9,268,0.099,347,0.615,53,63,73,0.094,0.105,0.1217,LSM4,Like SM
7,S000002552,Ess,Ess,Essential,1169,YDR145W,chrIV,746738,748357,1620,1,4,18,10,273,0.011000000000000001,1514,0.935,121,65,77,0.0747,0.1083,0.1283,TAF12,TATA binding protein-Associated Factor
8,S000001288,Ess,Ess,Essential,3119,YIL026C,chrIX,304477,307929,3453,3,12,17,6,217,0.02,3204,0.9279999999999999,358,70,46,0.1037,0.1167,0.0767,IRR1,IRRegular cell behavior
9,S000003605,Ess,Ess,Essential,3364,YJL069C,chrX,310922,312706,1785,1,5,5,6,178,0.016,1779,0.997,168,65,50,0.0941,0.1083,0.0833,UTP18,U Three Protein
10,S000000180,Ess,Ess,Essential,150,YBL084C,chrII,67169,69445,2277,1,5,3,7,221,0.01,2235,0.982,254,69,45,0.1116,0.115,0.075,CDC27,Cell Division Cycle
11,S000002739,Ess,Ess,Essential,1364,YDR331W,chrIV,1129588,1130823,1236,2,39,21,7,226,0.036000000000000004,1100,0.89,122,54,66,0.0987,0.09,0.11,GPI8,GlycosylPhosphatidylInositol anchor biosynthesis
12,S000002736,Ess,Ess,Essential,1361,YDR328C,chrIV,1125434,1126018,585,2,10,25,6,192,0.08900000000000001,578,0.988,38,60,52,0.065,0.1,0.0867,SKP1,Suppressor of Kinetochore Protein mutant
13,S000003608,Ess,Ess,Essential,3361,YJL072C,chrX,305221,305862,642,0,0,3,9,135,0.0,642,1.0,57,59,60,0.0888,0.0983,0.1,PSF2,Partner of Sld Five
14,S000002895,Ess,Ess,Essential,1528,YDR487C,chrIV,1428354,1428980,627,0,0,3,30,304,0.0,627,1.0,53,67,38,0.0845,0.1117,0.0633,RIB3,RIBoflavin biosynthesis
15,S000004881,Ess,Ess,Essential,4960,YMR268C,chrXIII,802888,804222,1335,2,12,3,0,265,0.027999999999999997,1295,0.97,127,58,66,0.0951,0.0967,0.11,PRP24,Pre-mRNA Processing
16,S000006259,Ess,Ess,Essential,6412,YPR055W,chrXVI,667676,670873,3198,10,71,10,1,334,0.047,2038,0.637,346,57,67,0.1082,0.095,0.1117,SEC8,SECretory
17,S000004401,Ess,Ess,Essential,4459,YLR409C,chrXII,934414,937233,2820,2,6,28,5,269,0.013000000000000001,2813,0.998,270,73,66,0.0957,0.1217,0.11,UTP21,U Three Protein
18,S000001340,Ess,Ess,Essential,3060,YIL078W,chrIX,212499,214703,2205,2,18,18,30,219,0.021,2185,0.991,209,60,56,0.0948,0.1,0.0933,THS1,THreonyl tRNA Synthetase
19,S000001345,Ess,Ess,Essential,3057,YIL083C,chrIX,203556,204653,1098,2,10,6,16,192,0.047,1091,0.9940000000000001,98,67,61,0.0893,0.1117,0.1017,CAB2,Coenzyme A Biosynthesis
20,S000005133,Ess,Ess,Essential,5182,YNL189W,chrXIV,284260,285888,1629,0,0,12,5,323,0.0,1629,1.0,140,62,58,0.0859,0.1033,0.0967,SRP1,Suppressor of Rna Polymerase I
21,S000003730,Ess,Ess,Essential,3234,YJL194W,chrX,69338,70879,1542,1,1,44,27,448,0.006999999999999999,846,0.5489999999999999,137,54,55,0.0888,0.09,0.0917,CDC6,Cell Division Cycle
22,S000003292,Ess,Ess,Essential,2389,YGR060W,chrVII,610564,611493,930,0,0,19,20,379,0.0,930,1.0,82,33,77,0.0882,0.055,0.1283,ERG25,ERGosterol biosynthesis
23,S000005820,Ess,Ess,Essential,5949,YOR294W,chrXV,868340,868951,612,1,10,17,2,303,0.027000000000000003,539,0.8809999999999999,52,64,65,0.085,0.1067,0.1083,RRS1,Regulator of Ribosome Synthesis
24,S000003617,Ess,Ess,Essential,3350,YJL081C,chrX,283802,285271,1470,0,0,11,8,456,0.0,1470,1.0,124,68,64,0.0844,0.1133,0.1067,ARP4,Actin-Related Protein
25,S000000406,Ess,Ess,Essential,465,YBR202W,chrII,625772,628309,2538,6,145,41,25,249,0.047,2415,0.9520000000000001,206,47,59,0.0812,0.0783,0.0983,MCM7,MiniChromosome Maintenance
26,S000000402,Ess,Ess,Essential,459,YBR198C,chrII,616127,618523,2397,0,0,12,15,291,0.0,2397,1.0,203,30,49,0.0847,0.05,0.0817,TAF5,TATA binding protein-Associated Factor
27,S000000400,Ess,Ess,Essential,455,YBR196C,chrII,612236,613900,1665,1,1,16,32,299,0.01,1566,0.941,127,72,55,0.0763,0.12,0.0917,PGI1,PhosphoGlucoIsomerase
28,S000003478,Ess,Ess,Essential,2584,YGR246C,chrVII,982482,984272,1791,0,0,9,23,453,0.0,1791,1.0,156,59,64,0.0871,0.0983,0.1067,BRF1,B-Related Factor
29,S000003510,Ess,Ess,Essential,2617,YGR278W,chrVII,1046731,1048464,1734,2,33,0,12,248,0.023,1466,0.845,170,62,55,0.098,0.1033,0.0917,CWC22,Complexed With Cef1p
30,S000003041,Ess,Ess,Essential,2250,YGL073W,chrVII,368753,371254,2502,32,320,4,19,257,0.249,1587,0.634,231,41,47,0.0923,0.0683,0.0783,HSF1,Heat Shock transcription Factor
31,S000001655,Ess,Ess,Essential,3650,YKL172W,chrXI,125759,127042,1284,1,3,6,29,226,0.017,958,0.746,109,65,41,0.0849,0.1083,0.0683,EBP2,EBNA1-binding protein (homolog)
32,S000001656,Ess,Ess,Essential,3649,YKL173W,chrXI,122517,125543,3027,1,9,2,5,259,0.006,3021,0.998,285,57,70,0.0942,0.095,0.1167,SNU114,Small NUclear ribonucleoprotein associated
33,S000005318,Ess,Ess,Essential,5420,YNR035C,chrXIV,693019,694047,1029,0,0,6,11,293,0.0,1029,1.0,86,57,63,0.0836,0.095,0.105,ARC35,ARp2/3 Complex subunit
34,S000000193,Ess,Ess,Essential,136,YBL097W,chrII,40831,43095,2265,1,2,11,9,151,0.015,2245,0.991,221,76,48,0.0976,0.1267,0.08,BRN1,homolog of BaRreN
35,S000005583,Ess,Ess,Essential,5703,YOR057W,chrXV,432186,433373,1188,1,1,1,14,309,0.013999999999999999,1150,0.968,135,57,70,0.1136,0.095,0.1167,SGT1,Suppressor of G2 (Two) allele of skp1
36,S000000605,Ess,Ess,Essential,654,YCR012W,chrIII,137746,138996,1251,2,15,9,9,292,0.027000000000000003,1231,0.9840000000000001,101,55,62,0.0807,0.0917,0.1033,PGK1,3-PhosphoGlycerate Kinase
37,S000004873,Ess,Ess,Essential,4952,YMR260C,chrXIII,789378,789839,462,0,0,9,5,202,0.0,462,1.0,47,73,68,0.1017,0.1217,0.1133,TIF11,Translation Initiation Factor
38,S000004477,Ess,Ess,Essential,4651,YML015C,chrXIII,241989,243029,1041,1,1,23,4,283,0.017,959,0.9209999999999999,92,72,49,0.0884,0.12,0.0817,TAF11,TATA binding protein-Associated Factor
39,S000004470,Ess,Ess,Essential,4657,YML010W,chrXIII,247677,250868,3192,3,35,23,20,387,0.012,2897,0.9079999999999999,278,67,67,0.0871,0.1117,0.1117,SPT5,SuPpressor of Ty's
40,S000001627,Ess,Ess,Essential,3681,YKL144C,chrXI,175843,176481,639,1,6,1,6,425,0.018000000000000002,637,0.997,53,62,65,0.0829,0.1033,0.1083,RPC25,RNA Polymerase C
41,S000003853,Ess,Ess,Essential,3523,YJR093C,chrX,603220,604203,984,4,19,6,18,369,0.055,740,0.752,77,65,75,0.0783,0.1083,0.125,FIP1,Factor Interacting with Poly(A) polymerase
42,S000001628,Ess,Ess,Essential,3679,YKL145W,chrXI,174213,175616,1404,0,0,22,2,461,0.0,1404,1.0,113,59,56,0.0805,0.0983,0.0933,RPT1,"Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase"
43,S000005005,Ess,Ess,Essential,5320,YNL061W,chrXIV,510540,512396,1857,7,80,4,7,458,0.040999999999999995,1673,0.9009999999999999,165,63,73,0.0889,0.105,0.1217,NOP2,NucleOlar Protein
44,S000005122,Ess,Ess,Essential,5193,YNL178W,chrXIV,302680,303402,723,1,30,59,12,347,0.02,678,0.938,43,55,61,0.0595,0.0917,0.1017,RPS3,Ribosomal Protein of the Small subunit
45,S000005126,Ess,Ess,Essential,5189,YNL182C,chrXIV,295960,297627,1668,0,0,21,1,352,0.0,1668,1.0,157,58,57,0.0941,0.0967,0.095,IPI3,Involved in Processing ITS2
46,S000005125,Ess,Ess,Essential,5190,YNL181W,chrXIV,298335,299558,1224,2,9,1,8,365,0.022000000000000002,1147,0.937,113,53,46,0.0923,0.0883,0.0767,PBR1,Potentiates Bioactive compound Response
47,S000006341,Ess,Ess,Essential,6496,YPR137W,chrXVI,802359,804080,1722,2,2,14,11,257,0.023,1208,0.7020000000000001,151,64,71,0.0877,0.1067,0.1183,RRP9,Ribosomal RNA Processing
48,S000006347,Ess,Ess,Essential,6502,YPR143W,chrXVI,818323,819075,753,1,2,3,21,485,0.013999999999999999,743,0.987,59,63,70,0.0784,0.105,0.1167,RRP15,Ribosomal RNA Processing
49,S000006348,Ess,Ess,Essential,6503,YPR144C,chrXVI,819765,821423,1659,1,4,27,33,634,0.005,1552,0.9359999999999999,168,77,67,0.1013,0.1283,0.1117,NOC4,NucleOlar Complex associated
50,S000005837,Ess,Ess,Essential,5967,YOR310C,chrXV,896825,898360,1536,2,28,19,8,429,0.015,1262,0.8220000000000001,129,77,69,0.084,0.1283,0.115,NOP58,NucleOlar Protein of 58 kDa
51,S000005770,Ess,Ess,Essential,5898,YOR244W,chrXV,792531,793868,1338,1,3,5,8,274,0.013999999999999999,1274,0.9520000000000001,111,64,65,0.083,0.1067,0.1083,ESA1,
52,S000004596,Ess,Ess,Essential,4532,YML127W,chrXIII,17064,18809,1746,3,112,4,3,273,0.031,1688,0.9670000000000001,160,49,76,0.0916,0.0817,0.1267,RSC9,Remodel the Structure of Chromatin
53,S000003407,Ess,Ess,Essential,2511,YGR175C,chrVII,846933,848423,1491,0,0,21,37,409,0.0,1491,1.0,128,67,43,0.0858,0.1117,0.0717,ERG1,ERGosterol biosynthesis
54,S000003404,Ess,Ess,Essential,2507,YGR172C,chrVII,842845,843591,747,1,13,10,13,296,0.023,450,0.602,78,63,53,0.1044,0.105,0.0883,YIP1,Ypt-Interacting Protein
55,S000005775,Ess,Ess,Essential,5903,YOR249C,chrXV,798674,800731,2058,4,33,11,1,239,0.040999999999999995,2036,0.9890000000000001,237,57,62,0.1152,0.095,0.1033,APC5,Anaphase Promoting Complex
56,S000003088,Ess,Ess,Essential,2203,YGL120C,chrVII,281634,283937,2304,2,31,28,22,485,0.009000000000000001,2168,0.941,203,55,66,0.0881,0.0917,0.11,PRP43,Pre-mRNA Processing
57,S000003084,Ess,Ess,Essential,2207,YGL116W,chrVII,289809,291641,1833,2,6,25,10,286,0.019,1745,0.9520000000000001,164,57,63,0.0895,0.095,0.105,CDC20,Cell Division Cycle
58,S000000215,Ess,Ess,Essential,253,YBR011C,chrII,257112,257975,864,1,8,14,12,339,0.017,848,0.981,76,68,56,0.08800000000000001,0.1133,0.0933,IPP1,Inorganic PyroPhosphatase
59,S000000564,Ess,Ess,Essential,583,YCL059C,chrIII,22429,23379,951,2,14,16,6,250,0.042,926,0.9740000000000001,88,60,55,0.0925,0.1,0.0917,KRR1,contains KRR-R motif
60,S000000032,Ess,Ess,Essential,45,YAL034W-A,chrI,79718,80587,870,3,45,3,12,218,0.079,785,0.902,88,60,61,0.1011,0.1,0.1017,MTW1,Mis TWelve-like
61,S000000030,Ess,Ess,Essential,48,YAL032C,chrI,83335,84474,1140,11,146,2,6,193,0.25,743,0.652,85,56,48,0.0746,0.0933,0.08,PRP45,Pre-mRNA Processing
62,S000000031,Ess,Ess,Essential,47,YAL033W,chrI,82706,83227,522,0,0,4,12,186,0.0,522,1.0,51,44,45,0.0977,0.0733,0.075,POP5,Processing Of Precursor RNAs
63,S000000036,Ess,Ess,Essential,38,YAL038W,chrI,71786,73288,1503,0,0,17,10,333,0.0,1503,1.0,135,59,72,0.0898,0.0983,0.12,CDC19,Cell Division Cycle
64,S000006379,Ess,Ess,Essential,6541,YPR175W,chrXVI,888974,891043,2070,1,6,5,0,141,0.017,2029,0.98,197,54,50,0.0952,0.09,0.0833,DPB2,DNA Polymerase B subunit 2
65,S000006373,Ess,Ess,Essential,6532,YPR169W,chrXVI,878690,880168,1479,6,117,7,8,204,0.099,1188,0.8029999999999999,138,63,61,0.0933,0.105,0.1017,JIP5,Jumonji domain Interacting Protein
66,S000005337,Ess,Ess,Essential,5439,YNR054C,chrXIV,723356,724306,951,9,189,9,9,356,0.133,788,0.8290000000000001,76,55,70,0.0799,0.0917,0.1167,ESF2,Eighteen S rRNA Factor 2
67,S000001324,Ess,Ess,Essential,3079,YIL062C,chrIX,243998,244462,465,1,10,20,8,539,0.02,386,0.83,30,58,38,0.0645,0.0967,0.0633,ARC15,ARp2/3 Complex subunit
68,S000001323,Ess,Ess,Essential,3080,YIL061C,chrIX,244657,245559,903,3,21,6,23,641,0.026000000000000002,753,0.8340000000000001,79,40,74,0.0875,0.0667,0.1233,SNP1,
69,S000002300,Ess,Ess,Essential,870,YDL141W,chrIV,203039,205111,2073,0,0,16,7,212,0.0,2073,1.0,194,56,51,0.0936,0.0933,0.085,BPL1,Biotin:apoProtein Ligase
70,S000005151,Ess,Ess,Essential,5164,YNL207W,chrXIV,255353,256630,1278,0,0,26,10,317,0.0,1278,1.0,139,55,57,0.1088,0.0917,0.095,RIO2,RIght Open reading frame
71,S000002651,Ess,Ess,Essential,1272,YDR243C,chrIV,948518,950284,1767,0,0,3,18,293,0.0,1767,1.0,172,63,69,0.0973,0.105,0.115,PRP28,Pre-mRNA Processing
72,S000005804,Ess,Ess,Essential,5932,YOR278W,chrXV,842817,843644,828,2,7,47,5,448,0.027000000000000003,700,0.845,81,58,51,0.0978,0.0967,0.085,HEM4,HEMe biosynthesis
73,S000003679,Ess,Ess,Essential,3286,YJL143W,chrX,147101,147577,477,1,182,20,10,351,0.03,447,0.937,24,61,63,0.0503,0.1017,0.105,TIM17,Translocase of the Inner Mitochondrial membrane
74,S000002420,Ess,Ess,Essential,1032,YDR013W,chrIV,473157,473783,627,0,0,10,7,417,0.0,627,1.0,72,57,63,0.1148,0.095,0.105,PSF1,Partner of Sld Five
75,S000002784,Ess,Ess,Essential,1413,YDR376W,chrIV,1226822,1228303,1482,5,49,12,13,279,0.06,1465,0.9890000000000001,140,50,59,0.0945,0.0833,0.0983,ARH1,Adrenodoxin Reductase Homolog
76,S000003096,Ess,Ess,Essential,2194,YGL128C,chrVII,269293,270144,852,6,161,12,11,372,0.095,494,0.58,66,61,63,0.0775,0.1017,0.105,CWC23,Complexed With Cef1p
77,S000005506,Ess,Ess,Essential,5487,YOL146W,chrXV,48864,49448,585,0,0,18,2,224,0.0,585,1.0,59,59,58,0.1009,0.0983,0.0967,PSF3,Partner of Sld Five
78,S000000208,Ess,Ess,Essential,246,YBR004C,chrII,244366,245667,1302,0,0,7,5,598,0.0,1302,1.0,129,56,54,0.0991,0.0933,0.09,GPI18,GlycosylPhosphatidylInositol
79,S000006132,Ess,Ess,Essential,6136,YPL211W,chrXVI,153495,154040,546,0,0,0,3,204,0.0,546,1.0,49,53,60,0.0897,0.0883,0.1,NIP7,Nuclear ImPort
80,S000006158,Ess,Ess,Essential,6109,YPL237W,chrXVI,100496,101353,858,0,0,14,5,263,0.0,858,1.0,75,52,56,0.0874,0.0867,0.0933,SUI3,SUppressor of Initiator codon
81,S000000689,Ess,Ess,Essential,739,YCR093W,chrIII,280117,286443,6327,4,39,12,4,212,0.015,5527,0.8740000000000001,642,57,65,0.1015,0.095,0.1083,CDC39,Cell Division Cycle
82,S000006156,Ess,Ess,Essential,6111,YPL235W,chrXVI,103232,104647,1416,0,0,6,6,282,0.0,1416,1.0,139,51,59,0.0982,0.085,0.0983,RVB2,RuVB-like
83,S000006154,Ess,Ess,Essential,6113,YPL233W,chrXVI,106172,106822,651,0,0,21,46,316,0.0,651,1.0,45,54,52,0.0691,0.09,0.0867,NSL1,Nnf1 Synthetic Lethal
84,S000006152,Ess,Ess,Essential,6115,YPL231W,chrXVI,108652,114315,5664,0,0,17,35,350,0.0,5664,1.0,486,60,33,0.0858,0.1,0.055,FAS2,Fatty Acid Synthetase
85,S000002837,Ess,Ess,Essential,1469,YDR429C,chrIV,1324477,1325301,825,2,48,7,12,255,0.048,805,0.976,67,63,53,0.0812,0.105,0.0883,TIF35,Translation Initiation Factor
86,S000005720,Ess,Ess,Essential,5848,YOR194C,chrXV,711683,712543,861,1,10,4,3,170,0.034,858,0.997,77,62,49,0.0894,0.1033,0.0817,TOA1,
87,S000003098,Ess,Ess,Essential,2192,YGL130W,chrVII,266145,267524,1380,0,0,5,6,395,0.0,1380,1.0,123,54,65,0.0891,0.09,0.1083,CEG1,Capping Enzyme Guanylyltransferase
88,S000000023,Ess,Ess,Essential,57,YAL025C,chrI,100225,101145,921,0,0,3,14,143,0.0,921,1.0,72,51,78,0.0782,0.085,0.13,MAK16,MAintenance of Killer
89,S000004852,Ess,Ess,Essential,4929,YMR239C,chrXIII,748262,749677,1416,0,0,18,8,378,0.0,1416,1.0,141,67,59,0.0996,0.1117,0.0983,RNT1,RNase Three
