,id,chrom,start,end,target_seq_counts,500bp_up_target_seq_counts,500bp_down_target_seq_counts,length,target_per_bp,up_target_per_bp,down_target_per_bp
0,YAL069W,chrI,335,649,26,15,46,315,0.0825396825397,0.03,0.092
1,YAL068W-A,chrI,538,792,30,30,36,255,0.117647058824,0.06,0.072
2,YAL068C,chrI,1807,2169,19,54,45,363,0.0523415977961,0.108,0.09
3,YAL067W-A,chrI,2480,2707,14,37,59,228,0.0614035087719,0.074,0.118
4,YAL067C,chrI,7235,9016,162,59,62,1782,0.0909090909091,0.118,0.124
5,YAL066W,chrI,10091,10399,39,57,62,309,0.126213592233,0.114,0.124
6,YAL065C,chrI,11565,11951,29,66,29,387,0.0749354005168,0.132,0.058
7,YAL064W-B,chrI,12046,12426,21,36,47,381,0.0551181102362,0.072,0.094
8,YAL064C-A,chrI,13363,13743,29,34,54,381,0.0761154855643,0.068,0.108
9,YAL064W,chrI,21566,21850,29,56,46,285,0.101754385965,0.112,0.092
10,YAL063C-A,chrI,22395,22685,36,49,53,291,0.123711340206,0.098,0.106
11,YAL063C,chrI,24000,27968,284,61,47,3969,0.071554547745,0.122,0.094
12,YAL062W,chrI,31567,32940,94,65,57,1374,0.0684133915575,0.13,0.114
13,YAL061W,chrI,33448,34701,80,58,47,1254,0.0637958532695,0.116,0.094
14,YAL060W,chrI,35155,36303,94,43,36,1149,0.0818102697998,0.086,0.072
15,YAL059C-A,chrI,36496,36918,32,38,51,423,0.0756501182033,0.076,0.102
16,YAL059W,chrI,36509,37147,48,39,52,639,0.075117370892,0.078,0.104
17,YAL058W,chrI,37464,38972,122,54,49,1509,0.0808482438701,0.108,0.098
18,YAL056C-A,chrI,38696,39046,33,41,51,351,0.0940170940171,0.082,0.102
19,YAL056W,chrI,39259,41901,250,49,46,2643,0.0945894816496,0.098,0.092
20,YAL055W,chrI,42177,42719,46,47,48,543,0.0847145488029,0.094,0.096
21,YAL054C,chrI,42881,45022,165,52,42,2142,0.0770308123249,0.104,0.084
22,YAL053W,chrI,45899,48250,204,51,39,2352,0.0867346938776,0.102,0.078
23,YAL051W,chrI,48564,51707,307,41,47,3144,0.0976463104326,0.082,0.094
24,YAL049C,chrI,51855,52595,57,58,47,741,0.0769230769231,0.116,0.094
25,YAL048C,chrI,52801,54789,171,46,58,1989,0.0859728506787,0.092,0.116
26,YAL047W-A,chrI,54584,54913,42,40,54,330,0.127272727273,0.08,0.108
27,YAL047C,chrI,54989,56857,199,58,48,1869,0.106474050294,0.116,0.096
28,YAL046C,chrI,57029,57385,27,57,42,357,0.0756302521008,0.114,0.084
29,YAL045C,chrI,57488,57796,23,41,46,309,0.0744336569579,0.082,0.092
30,YAL044W-A,chrI,57518,57850,28,40,44,333,0.0840840840841,0.08,0.088
31,YAL044C,chrI,57950,58462,41,48,44,513,0.0799220272904,0.096,0.088
32,YAL043C,chrI,58695,61052,181,49,40,2358,0.0767599660729,0.098,0.08
33,YAL042C-A,chrI,61231,61608,27,46,36,378,0.0714285714286,0.092,0.072
34,YAL042W,chrI,61316,62563,85,48,44,1248,0.068108974359,0.096,0.088
35,YAL041W,chrI,62840,65404,273,41,50,2565,0.106432748538,0.082,0.1
36,YAL040C,chrI,65778,67520,142,58,36,1743,0.0814687320711,0.116,0.072
37,YAL039C,chrI,68716,69525,40,38,42,810,0.0493827160494,0.076,0.084
38,YAL038W,chrI,71786,73288,135,54,61,1503,0.0898203592814,0.108,0.122
39,YAL037C-B,chrI,72326,73300,88,44,62,975,0.0902564102564,0.088,0.124
40,YAL037C-A,chrI,73426,73518,11,58,52,93,0.118279569892,0.116,0.104
41,YAL037W,chrI,74020,74823,87,53,53,804,0.108208955224,0.106,0.106
42,YAL036C,chrI,75043,76152,94,58,30,1110,0.0846846846847,0.116,0.06
43,YAL035W,chrI,76427,79435,226,32,54,3009,0.0751080093054,0.064,0.108
44,YAL034C-B,chrI,79489,79842,38,48,54,354,0.107344632768,0.096,0.108
45,YAL034W-A,chrI,79718,80587,88,49,55,870,0.101149425287,0.098,0.11
46,YAL034C,chrI,80710,81951,115,53,38,1242,0.0925925925926,0.106,0.076
47,YAL033W,chrI,82706,83227,51,33,37,522,0.0977011494253,0.066,0.074
48,YAL032C,chrI,83335,84474,85,46,44,1140,0.0745614035088,0.092,0.088
49,YAL031W-A,chrI,84669,84977,26,41,40,309,0.084142394822,0.082,0.08
50,YAL031C,chrI,84749,87031,206,46,49,2283,0.0902321506789,0.092,0.098
51,YAL030W,chrI,87286,87752,40,45,50,467,0.0856531049251,0.09,0.1
52,YAL029C,chrI,87855,92270,440,55,54,4416,0.0996376811594,0.11,0.108
53,YAL028W,chrI,92900,94486,134,54,52,1587,0.0844360428481,0.108,0.104
54,YAL027W,chrI,94687,95472,81,52,49,786,0.103053435115,0.104,0.098
55,YAL026C-A,chrI,95386,95823,41,53,49,438,0.0936073059361,0.106,0.098
56,YAL026C,chrI,95630,99697,417,49,44,4068,0.102507374631,0.098,0.088
57,YAL025C,chrI,100225,101145,72,45,68,921,0.0781758957655,0.09,0.136
58,YAL024C,chrI,101565,105872,403,62,53,4308,0.0935468895079,0.124,0.106
59,YAL023C,chrI,106272,108551,178,58,47,2280,0.0780701754386,0.116,0.094
60,YAL022C,chrI,108877,110430,114,38,47,1554,0.0733590733591,0.076,0.094
61,YAL021C,chrI,110846,113359,190,41,38,2514,0.0755767700875,0.082,0.076
62,YAL020C,chrI,113614,114615,51,34,34,1002,0.0508982035928,0.068,0.068
63,YAL019W-A,chrI,114250,114819,33,27,33,570,0.0578947368421,0.054,0.066
64,YAL019W,chrI,114919,118314,310,36,58,3396,0.0912838633687,0.072,0.116
65,YAL018C,chrI,118564,119541,84,60,58,978,0.0858895705521,0.12,0.116
66,YAL017W,chrI,120225,124295,386,47,68,4071,0.0948169982805,0.094,0.136
67,YAL016C-B,chrI,124307,124492,29,47,51,186,0.155913978495,0.094,0.102
68,YAL016C-A,chrI,124755,125069,26,69,55,315,0.0825396825397,0.138,0.11
