,id,chrom,start,end
0,CAGL0A00105g,ChrA_C_glabrata_CBS138,1608,2636
1,CAGL0A00116g,ChrA_C_glabrata_CBS138,2671,4809
2,CAGL0A00132g,ChrA_C_glabrata_CBS138,11697,13042
3,CAGL0A00154g,ChrA_C_glabrata_CBS138,14977,15886
4,CAGL0A00165g,ChrA_C_glabrata_CBS138,17913,19017
5,CAGL0A00187g,ChrA_C_glabrata_CBS138,19120,21857
6,CAGL0A00209g,ChrA_C_glabrata_CBS138,22057,24493
7,CAGL0A00231g,ChrA_C_glabrata_CBS138,24957,27649
8,CAGL0A00253g,ChrA_C_glabrata_CBS138,27686,28779
9,CAGL0A00275g,ChrA_C_glabrata_CBS138,28538,30395
10,CAGL0A00297g,ChrA_C_glabrata_CBS138,29618,31199
11,CAGL0A00319g,ChrA_C_glabrata_CBS138,30897,32583
12,CAGL0A00341g,ChrA_C_glabrata_CBS138,32727,33858
13,CAGL0A00363g,ChrA_C_glabrata_CBS138,33938,36387
14,CAGL0A00385g,ChrA_C_glabrata_CBS138,36449,40397
15,CAGL0A00407g,ChrA_C_glabrata_CBS138,40758,42735
16,CAGL0A00429g,ChrA_C_glabrata_CBS138,41622,47116
17,CAGL0A00451g,ChrA_C_glabrata_CBS138,44303,51186
18,CAGL0A00473g,ChrA_C_glabrata_CBS138,51035,53637
19,CAGL0A00495g,ChrA_C_glabrata_CBS138,53688,57757
20,CAGL0A00517g,ChrA_C_glabrata_CBS138,58583,62513
21,CAGL0A00539g,ChrA_C_glabrata_CBS138,62388,63507
22,CAGL0A00561g,ChrA_C_glabrata_CBS138,63558,64997
23,CAGL0A00583g,ChrA_C_glabrata_CBS138,65093,67444
24,CAGL0A00605g,ChrA_C_glabrata_CBS138,67119,70367
25,CAGL0A00627g,ChrA_C_glabrata_CBS138,69627,70612
26,CAGL0A00649g,ChrA_C_glabrata_CBS138,70937,71320
27,CAGL0A00715g,ChrA_C_glabrata_CBS138,73333,73623
28,CAGL0A00737g,ChrA_C_glabrata_CBS138,74737,76560
29,CAGL0A00781g,ChrA_C_glabrata_CBS138,77494,81497
30,CAGL0A00803g,ChrA_C_glabrata_CBS138,80753,85553
31,CAGL0A00825g,ChrA_C_glabrata_CBS138,84864,86594
32,CAGL0A00847g,ChrA_C_glabrata_CBS138,86383,87887
33,CAGL0A00869g,ChrA_C_glabrata_CBS138,87716,90471
34,CAGL0A00891g,ChrA_C_glabrata_CBS138,90297,92857
35,CAGL0A00913g,ChrA_C_glabrata_CBS138,92916,98093
36,CAGL0A00935g,ChrA_C_glabrata_CBS138,96494,98116
37,CAGL0A00957g,ChrA_C_glabrata_CBS138,98004,99814
38,CAGL0A00979g,ChrA_C_glabrata_CBS138,99217,100939
39,CAGL0A01001g,ChrA_C_glabrata_CBS138,101597,102702
40,CAGL0A01023g,ChrA_C_glabrata_CBS138,102766,104328
41,CAGL0A01045g,ChrA_C_glabrata_CBS138,103980,106575
42,CAGL0A01067g,ChrA_C_glabrata_CBS138,106776,108829
43,CAGL0A01089g,ChrA_C_glabrata_CBS138,108879,111121
44,CAGL0A01111g,ChrA_C_glabrata_CBS138,110834,111819
45,CAGL0A01133g,ChrA_C_glabrata_CBS138,111841,114593
46,CAGL0A01155g,ChrA_C_glabrata_CBS138,114664,116830
47,CAGL0A01177g,ChrA_C_glabrata_CBS138,116987,120139
48,CAGL0A01193g,ChrA_C_glabrata_CBS138,119731,120042
49,CAGL0A01199g,ChrA_C_glabrata_CBS138,121026,123489
50,CAGL0A01221g,ChrA_C_glabrata_CBS138,124987,129488
51,CAGL0A01243g,ChrA_C_glabrata_CBS138,126066,131211
52,CAGL0A01284g,ChrA_C_glabrata_CBS138,131317,135649
53,CAGL0A01325g,ChrA_C_glabrata_CBS138,136007,139529
54,CAGL0A01366g,ChrA_C_glabrata_CBS138,140257,144775
55,CAGL0A01408g,ChrA_C_glabrata_CBS138,145137,147039
56,CAGL0A01430g,ChrA_C_glabrata_CBS138,147107,149462
57,CAGL0A01452g,ChrA_C_glabrata_CBS138,149637,152897
58,CAGL0A01474g,ChrA_C_glabrata_CBS138,153155,154933
59,CAGL0A01540g,ChrA_C_glabrata_CBS138,155566,157847
60,CAGL0A01562g,ChrA_C_glabrata_CBS138,157157,158986
61,CAGL0A01584g,ChrA_C_glabrata_CBS138,158780,159037
62,CAGL0A01606g,ChrA_C_glabrata_CBS138,159129,159968
63,CAGL0A01628g,ChrA_C_glabrata_CBS138,161187,162755
64,CAGL0A01650g,ChrA_C_glabrata_CBS138,163447,164775
65,CAGL0A01672g,ChrA_C_glabrata_CBS138,164808,166947
66,CAGL0A01694g,ChrA_C_glabrata_CBS138,167041,169217
67,CAGL0A01716g,ChrA_C_glabrata_CBS138,169410,170322
68,CAGL0A01738g,ChrA_C_glabrata_CBS138,170399,172917
69,CAGL0A01760g,ChrA_C_glabrata_CBS138,172556,174517
70,CAGL0A01782g,ChrA_C_glabrata_CBS138,174749,176787
71,CAGL0A01804g,ChrA_C_glabrata_CBS138,180148,181897
72,CAGL0A01826g,ChrA_C_glabrata_CBS138,183870,185907
73,CAGL0A01848g,ChrA_C_glabrata_CBS138,187468,190927
74,CAGL0A01870g,ChrA_C_glabrata_CBS138,191094,194721
75,CAGL0A01892g,ChrA_C_glabrata_CBS138,194560,194826
76,CAGL0A01914g,ChrA_C_glabrata_CBS138,194929,206465
77,CAGL0A01958g,ChrA_C_glabrata_CBS138,206791,208516
78,CAGL0A01980g,ChrA_C_glabrata_CBS138,208288,210397
79,CAGL0A02002g,ChrA_C_glabrata_CBS138,210447,211217
80,CAGL0A02024g,ChrA_C_glabrata_CBS138,211652,213977
81,CAGL0A02046g,ChrA_C_glabrata_CBS138,214918,218203
82,CAGL0A02090g,ChrA_C_glabrata_CBS138,218450,221336
83,CAGL0A02112g,ChrA_C_glabrata_CBS138,220973,223311
84,CAGL0A02134g,ChrA_C_glabrata_CBS138,222966,224520
85,CAGL0A02145g,ChrA_C_glabrata_CBS138,225216,226491
86,CAGL0A02189g,ChrA_C_glabrata_CBS138,226898,228787
87,CAGL0A02211g,ChrA_C_glabrata_CBS138,229203,231257
88,CAGL0A02233g,ChrA_C_glabrata_CBS138,235687,237568
89,CAGL0A02255g,ChrA_C_glabrata_CBS138,241096,245525
90,CAGL0A02277g,ChrA_C_glabrata_CBS138,248522,249340
91,CAGL0A02299g,ChrA_C_glabrata_CBS138,250289,252055
92,CAGL0A02321g,ChrA_C_glabrata_CBS138,250523,254591
93,CAGL0A02343g,ChrA_C_glabrata_CBS138,254861,255127
94,CAGL0A02365g,ChrA_C_glabrata_CBS138,254787,258700
95,CAGL0A02387g,ChrA_C_glabrata_CBS138,257781,261241
96,CAGL0A02409g,ChrA_C_glabrata_CBS138,259747,261514
97,CAGL0A02431g,ChrA_C_glabrata_CBS138,261619,263642
98,CAGL0A02475g,ChrA_C_glabrata_CBS138,264041,265918
99,CAGL0A02486g,ChrA_C_glabrata_CBS138,266016,268848
100,CAGL0A02508g,ChrA_C_glabrata_CBS138,268907,270099
101,CAGL0A02530g,ChrA_C_glabrata_CBS138,270427,271548
102,CAGL0A02552g,ChrA_C_glabrata_CBS138,270607,275452
103,CAGL0A02574g,ChrA_C_glabrata_CBS138,276915,278054
104,CAGL0A02596g,ChrA_C_glabrata_CBS138,278377,281119
105,CAGL0A02618g,ChrA_C_glabrata_CBS138,280976,281543
106,CAGL0A02629g,ChrA_C_glabrata_CBS138,281307,283673
107,CAGL0A02651g,ChrA_C_glabrata_CBS138,283604,287027
108,CAGL0A02673g,ChrA_C_glabrata_CBS138,287278,288267
109,CAGL0A02695g,ChrA_C_glabrata_CBS138,288329,290467
110,CAGL0A02706g,ChrA_C_glabrata_CBS138,290595,291704
111,CAGL0A02728g,ChrA_C_glabrata_CBS138,291888,292160
112,CAGL0A02750g,ChrA_C_glabrata_CBS138,292397,293888
113,CAGL0A02772g,ChrA_C_glabrata_CBS138,293827,295297
114,CAGL0A02794g,ChrA_C_glabrata_CBS138,295447,296481
115,CAGL0A02816g,ChrA_C_glabrata_CBS138,296777,297839
116,CAGL0A02838g,ChrA_C_glabrata_CBS138,297848,300452
117,CAGL0A02860g,ChrA_C_glabrata_CBS138,300605,302993
118,CAGL0A02882g,ChrA_C_glabrata_CBS138,302197,302892
119,CAGL0A02904g,ChrA_C_glabrata_CBS138,302938,304443
120,CAGL0A02926g,ChrA_C_glabrata_CBS138,304345,306469
121,CAGL0A02948g,ChrA_C_glabrata_CBS138,306082,307911
122,CAGL0A02970g,ChrA_C_glabrata_CBS138,306708,308033
123,CAGL0A02981g,ChrA_C_glabrata_CBS138,308234,308752
124,CAGL0A02992g,ChrA_C_glabrata_CBS138,308240,310171
125,CAGL0A03014g,ChrA_C_glabrata_CBS138,310323,311828
126,CAGL0A03036g,ChrA_C_glabrata_CBS138,312174,312479
127,CAGL0A03051g,ChrA_C_glabrata_CBS138,312305,313507
128,CAGL0A03058g,ChrA_C_glabrata_CBS138,313637,316493
129,CAGL0A03080g,ChrA_C_glabrata_CBS138,316349,316964
130,CAGL0A03102g,ChrA_C_glabrata_CBS138,317198,320138
131,CAGL0A03117g,ChrA_C_glabrata_CBS138,320499,322918
132,CAGL0A03146g,ChrA_C_glabrata_CBS138,322536,323760
133,CAGL0A03168g,ChrA_C_glabrata_CBS138,323928,324517
134,CAGL0A03190g,ChrA_C_glabrata_CBS138,324548,325357
135,CAGL0A03212g,ChrA_C_glabrata_CBS138,325523,326657
136,CAGL0A03234g,ChrA_C_glabrata_CBS138,328547,331288
