,Unnamed: 0_x,Standard name,Common name,Hits,Reads,Length,Neighborhood index,100 bp upstream hits,Max free region,Freedom index,Logit FI,Kornmann FI,Type,Description,Unnamed: 0_y,id,chrom,start,end,target_seq_counts,500bp_up_target_seq_counts,500bp_down_target_seq_counts,length,target_per_bp,up_target_per_bp,down_target_per_bp,hits_per_targets,freq_hit_targets,short name,description
0,0,S000005615,VPS21,0,0,633,0,0,633,1,0.987003583442,0,ORF,"Endosomal Rab family GTPase; required for endocytic transport and sorting of vacuolar hydrolases; required for endosomal localization of the CORVET complex; required with YPT52 for MVB biogenesis and sorting; involved in autophagy and ionic stress tolerance; geranylgeranylation required for membrane association; protein abundance increases in response to DNA replication stress; mammalian Rab5 homolog; VPS21 has a paralog, YPT53, that arose from the whole genome duplication
",5737,YOR089C,chrXV,490196,490828,55,71,47,633,0.086887835703002,0.142,0.094,0,0,VPS21,Vacuolar Protein Sorting
1,1,S000002159,RMD1,49,1177,1293,0.904196364486,2,156,0.120649651972,0.120647490849,0.328815958223,ORF,"Cytoplasmic protein required for sporulation
",1018,YDL001W,chrIV,447984,449276,125,43,73,1293,0.096674400618716,0.086,0.146,0.392,0.007233570915888,RMD1,Required for Meiotic nuclear Division
2,2,S000002158,YSY6,5,92,198,0.582491582492,13,90,0.454545454545,0.225000075755,0,ORF,"Protein of unknown function; expression suppresses a secretory pathway mutation in E. coli; has similarity to the mammalian RAMP4 protein involved in secretion
",419,YBR162W-A,chrII,565231,565428,17,42,48,198,0.085858585858586,0.084,0.096,0.294117647058823,0.034264210734824,YSY6,
3,8,S000002157,NHP6B,1,64,300,0.0693480546793,6,298,0.993333333333,0.726184854772,0,ORF,"High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to the chromosomes; functionally redundant with Nhp6Ap; required for transcriptional initiation fidelity of some tRNA genes; homologous to mammalian HMGB1 and HMGB2; NHP6B has a paralog, NHP6A, that arose from the whole genome duplication
",338,YBR089C-A,chrII,426190,426873,47,47,43,684,0.068713450292398,0.094,0.086,0.021276595744681,0.001475490525091,NHP6B,Non-Histone Protein
4,9,S000005617,TMA46,31,1381,1038,0.641471453199,2,171,0.164739884393,0.164702100093,0.445872554073,ORF,"Protein of unknown function that associates with translating ribosomes; interacts with GTPase Rbg1p
",5739,YOR091W,chrXV,493433,494470,69,54,36,1038,0.066473988439306,0.108,0.072,0.449275362318841,0.009296687727522,TMA46,Translation Machinery Associated
5,12,S000001602,VPH2,2,19,648,0.100060433394,0,547,0.844135802469,0.834676073676,0,ORF,"Integral membrane protein required for V-ATPase function; not an actual component of the vacuolar H+-ATPase (V-ATPase) complex; functions in the assembly of the V-ATPase; localized to the endoplasmic reticulum (ER); involved in methionine restriction extension of chronological lifespan in an autophagy-dependent manner
",3707,YKL119C,chrXI,218570,219217,60,57,44,648,0.092592592592593,0.114,0.088,0.033333333333333,0.0016676738899,VPH2,Vacuolar pH
6,13,S000001603,OAC1,17,311,975,0.565421245421,4,187,0.191794871795,0.191712293155,0.2272670146,ORF,"Mitochondrial inner membrane transporter; transports oxaloacetate, sulfate, thiosulfate, and isopropylmalate; member of the mitochondrial carrier family
",3706,YKL120W,chrXI,217344,218318,92,34,53,975,0.094358974358974,0.068,0.106,0.184782608695652,0.006145883102402,OAC1,OxaloAcetate Carrier
7,14,S000001600,SBA1,2,11,651,0.0691494011714,10,419,0.643625192012,0.636623315826,0,ORF,"Co-chaperone that binds and regulates Hsp90 family chaperones; plays a role in determining prion variants; important for pp60v-src activity in yeast; homologous to the mammalian p23 proteins, and like p23 can regulate telomerase activity; protein abundance increases in response to DNA replication stress
",3709,YKL117W,chrXI,220324,220974,54,56,54,651,0.08294930875576,0.112,0.108,0.037037037037037,0.001280544466137,SBA1,increased Sensitivity to Benzoquinone Ansamycins
8,17,S000001607,SSH4,20,323,1740,0.307002886222,2,449,0.258045977011,0.258045924099,0.271144763599,ORF,"Specificity factor required for Rsp5p-dependent ubiquitination; also required for sorting of cargo proteins at the multivesicular body; identified as a high-copy suppressor of a SHR3 deletion, increasing steady-state levels of amino acid permeases
",3702,YKL124W,chrXI,210593,212332,170,60,55,1740,0.097701149425287,0.12,0.11,0.117647058823529,0.001805899330718,SSH4,Suppressor of SHr3 deletion
9,18,S000001604,DGR2,11,87,2559,0.140204935966,1,477,0.186400937866,0.186400937856,0.130945293991,ORF,"Protein of unknown function; null mutant is resistant to 2-deoxy-D-glucose and displays abnormally elongated buds; DGR2 has a paralog, YMR102C, that arose from the whole genome duplication
",3705,YKL121W,chrXI,214142,216700,260,54,42,2559,0.101602188354826,0.108,0.084,0.042307692307692,0.000539249753715,DGR2,2-Deoxy-Glucose Resistant 2
