,"id","Standard name","chrom","start","end","Length","Hits","Reads","Hits_600_bp_upstream","Hits_600_bp_downstream","Neighbourhood Hits","Neighbourhood Index","Max Free Region","Freedom Index","target_seq_counts","600_bp_up_target_seq_counts","600_bp_down_target_seq_counts","target_per_bp","600_up_target_per_bp","600_down_target_per_bp","short name","description"
0,"YAL068C","S000002142","chrI",1807,2169,363,2,4,5,14,266,0.104,179,0.493,19,60,53,0.0523,0.1,0.0883,"PAU8","seriPAUperin"
1,"YAL067W-A","S000028593","chrI",2480,2707,228,9,276,7,4,275,0.718,127,0.557,14,46,69,0.0614,0.0767,0.115,,
2,"YAL067C","S000000062","chrI",7235,9016,1782,19,432,7,31,366,0.146,392,0.22,162,73,72,0.0909,0.1217,0.12,"SEO1","Suppressor of sulfoxyde EthiOnine resistance"
3,"YAL064W-B","S000002141","chrI",12046,12426,381,5,24,8,6,356,0.184,164,0.43,21,50,53,0.0551,0.0833,0.0883,,
4,"YAL064C-A","S000002140","chrI",13363,13743,381,6,85,2,5,353,0.223,110,0.289,29,48,66,0.0761,0.08,0.11,"TDA8","Topoisomerase I Damage Affected"
5,"YAL064W","S000000060","chrI",21566,21850,285,2,4,24,2,436,0.08,138,0.484,29,64,58,0.1018,0.1067,0.0967,,
6,"YAL063C-A","S000028813","chrI",22395,22685,291,2,8,2,5,462,0.074,147,0.505,36,60,62,0.1237,0.1,0.1033,,
7,"YAL062W","S000000058","chrI",31567,32940,1374,69,2275,49,57,664,0.378,188,0.137,94,72,63,0.0684,0.12,0.105,"GDH3","Glutamate DeHydrogenase"
8,"YAL061W","S000000057","chrI",33448,34701,1254,82,1867,59,55,712,0.459,148,0.118,80,64,53,0.0638,0.1067,0.0883,"BDH2",
9,"YAL060W","S000000056","chrI",35155,36303,1149,48,712,59,26,782,0.267,133,0.116,94,52,44,0.0818,0.0867,0.0733,"BDH1","Butanediol DeHydrogenase"
10,"YAL059W","S000000055","chrI",36509,37147,639,19,437,25,10,793,0.187,112,0.175,48,48,57,0.0751,0.08,0.095,"ECM1","ExtraCellular Mutant"
11,"YAL058W","S000000054","chrI",37464,38972,1509,16,144,14,13,846,0.063,278,0.184,122,62,62,0.0808,0.1033,0.1033,"CNE1","CalNExin and calreticulin homolog"
12,"YAL056W","S000000052","chrI",39259,41901,2643,4,14,17,21,854,0.009,1218,0.461,250,61,51,0.0946,0.1017,0.085,"GPB2",
13,"YAL055W","S000000051","chrI",42177,42719,543,25,313,9,14,672,0.343,94,0.173,46,57,55,0.0847,0.095,0.0917,"PEX22","PEroXisome related"
