,Unnamed: 0,id,label,chrom,start,end,Length,Hits,Hits per Kb,Reads,Hits_600_bp_upstream,Hits_600_bp_downstream,Neighbourhood Hits,Neighbourhood Index,Max Free Region,Freedom Index,target_seq_counts,600_bp_up_target_seq_counts,600_bp_down_target_seq_counts,target_per_bp,600_up_target_per_bp,600_down_target_per_bp,Hermes probability
0,0,CAGL0A00451g,0,ChrA_C_glabrata_CBS138,44303,51186,6884,244,35.44,10785,23,8,704,0.252,462,0.067,669,57,66,0.0972,0.095,0.11,0.005
1,1,CAGL0A00583g,0,ChrA_C_glabrata_CBS138,65093,67444,2352,46,19.56,1289,19,3,810,0.121,169,0.07200000000000001,243,65,59,0.1033,0.1083,0.0983,0.0
2,2,CAGL0A01133g,0,ChrA_C_glabrata_CBS138,111841,114593,2753,36,13.08,1174,20,7,659,0.099,355,0.129,230,35,54,0.0835,0.0583,0.09,0.0
3,3,CAGL0A01452g,0,ChrA_C_glabrata_CBS138,149637,152897,3261,39,11.96,3368,12,7,432,0.138,2518,0.772,324,59,66,0.0994,0.0983,0.11,0.295
4,4,CAGL0A01584g,0,ChrA_C_glabrata_CBS138,158780,159037,258,8,31.01,110,33,4,498,0.311,91,0.353,25,77,60,0.0969,0.1283,0.1,0.015
5,5,CAGL0A01628g,0,ChrA_C_glabrata_CBS138,161187,162755,1569,104,66.28,11266,42,43,591,0.561,202,0.129,114,49,40,0.0727,0.0817,0.0667,0.0
6,6,CAGL0A01892g,0,ChrA_C_glabrata_CBS138,194560,194826,267,14,52.43,638,6,0,139,1.886,69,0.258,26,65,46,0.0974,0.1083,0.0767,0.0
7,7,CAGL0A02299g,0,ChrA_C_glabrata_CBS138,250289,252055,1767,29,16.41,1272,16,5,277,0.29600000000000004,876,0.496,182,62,44,0.10300000000000001,0.1033,0.0733,0.19
8,8,CAGL0A02431g,0,ChrA_C_glabrata_CBS138,261619,263642,2024,14,6.92,397,13,19,348,0.099,830,0.41,92,34,40,0.0455,0.0567,0.0667,0.14
9,9,CAGL0A02486g,0,ChrA_C_glabrata_CBS138,266016,268848,2833,15,5.29,482,9,1,244,0.10800000000000001,791,0.27899999999999997,202,39,50,0.0713,0.065,0.0833,0.015
10,10,CAGL0A03322g,0,ChrA_C_glabrata_CBS138,337485,340160,2676,45,16.82,3249,4,12,316,0.266,493,0.184,254,58,55,0.0949,0.0967,0.0917,0.0
11,11,CAGL0A03410g,0,ChrA_C_glabrata_CBS138,348677,349603,927,5,5.39,189,4,8,299,0.09,507,0.547,97,50,67,0.1046,0.0833,0.1117,0.155
12,12,CAGL0A03476g,0,ChrA_C_glabrata_CBS138,355510,357207,1698,26,15.31,1522,4,44,308,0.249,370,0.218,154,76,63,0.0907,0.1267,0.105,0.0
13,13,CAGL0A03586g,0,ChrA_C_glabrata_CBS138,365127,365696,570,1,1.75,49,1,2,309,0.027999999999999997,382,0.67,57,56,74,0.1,0.0933,0.1233,0.305
14,14,CAGL0A03696g,0,ChrA_C_glabrata_CBS138,376860,378923,2064,26,12.6,1119,23,1,188,0.335,388,0.188,188,49,58,0.0911,0.0817,0.0967,0.0
15,15,CAGL0A04081g,0,ChrA_C_glabrata_CBS138,408037,409260,1224,15,12.25,411,20,11,204,0.3,291,0.23800000000000002,63,53,29,0.0515,0.0883,0.0483,0.005
16,16,CAGL0A04235g,0,ChrA_C_glabrata_CBS138,419847,422155,2309,6,2.6,85,13,1,344,0.038,866,0.375,222,63,63,0.0961,0.105,0.105,0.09
17,17,CAGL0A04411g,0,ChrA_C_glabrata_CBS138,433151,435741,2591,25,9.65,833,16,24,386,0.125,403,0.156,235,61,45,0.0907,0.1017,0.075,0.01
18,18,CAGL0A04455g,0,ChrA_C_glabrata_CBS138,437357,441052,3696,27,7.31,1489,11,20,393,0.09300000000000001,531,0.14400000000000002,314,51,47,0.085,0.085,0.0783,0.005
19,19,CAGL0A04587g,0,ChrA_C_glabrata_CBS138,454047,455888,1842,24,13.03,447,11,8,261,0.25,467,0.254,172,59,49,0.0934,0.0983,0.0817,0.0
20,20,CAGL0A04785g,0,ChrA_C_glabrata_CBS138,465618,469181,3564,82,23.01,4033,0,12,301,0.382,605,0.17,316,64,56,0.0887,0.1067,0.0933,0.015
21,21,CAGL0B00440g,0,ChrB_C_glabrata_CBS138,31387,32726,1340,2,1.49,79,0,9,291,0.026000000000000002,818,0.61,139,60,80,0.1037,0.1,0.1333,0.275
22,22,CAGL0B00462g,0,ChrB_C_glabrata_CBS138,33067,34149,1083,8,7.39,234,6,14,290,0.127,299,0.276,118,83,60,0.109,0.1383,0.1,0.02
23,23,CAGL0B00528g,0,ChrB_C_glabrata_CBS138,41088,45267,4180,28,6.7,898,38,1,362,0.09300000000000001,772,0.185,409,51,56,0.0978,0.085,0.0933,0.01
24,24,CAGL0B00572g,0,ChrB_C_glabrata_CBS138,48898,49506,609,21,34.48,1049,14,18,335,0.515,140,0.23,48,50,41,0.0788,0.0833,0.0683,0.0
25,25,CAGL0B00858g,0,ChrB_C_glabrata_CBS138,75468,77434,1967,19,9.66,1102,16,0,293,0.165,589,0.299,194,50,52,0.0986,0.0833,0.0867,0.015
26,26,CAGL0B00968g,0,ChrB_C_glabrata_CBS138,84713,85951,1239,14,11.3,481,2,8,418,0.135,572,0.462,118,71,61,0.0952,0.1183,0.1017,0.015
27,27,CAGL0B01188g,0,ChrB_C_glabrata_CBS138,105941,108373,2433,27,11.1,1070,1,3,192,0.289,401,0.165,230,51,35,0.0945,0.085,0.0583,0.005
28,28,CAGL0B01441g,0,ChrB_C_glabrata_CBS138,130070,131617,1548,5,3.23,37,6,2,95,0.17,1029,0.665,101,43,39,0.0652,0.0717,0.065,0.175
29,30,CAGL0B01969g,0,ChrB_C_glabrata_CBS138,181088,182697,1610,49,30.43,1473,6,7,195,0.78,250,0.155,163,60,62,0.1012,0.1,0.1033,0.0
30,31,CAGL0B01991g,0,ChrB_C_glabrata_CBS138,182650,184017,1368,10,7.31,128,3,5,161,0.22699999999999998,356,0.26,147,58,59,0.1075,0.0967,0.0983,0.005
31,32,CAGL0B02211g,0,ChrB_C_glabrata_CBS138,205701,212947,7247,12,1.66,185,0,0,231,0.036000000000000004,2811,0.38799999999999996,738,67,40,0.1018,0.1117,0.0667,0.145
32,33,CAGL0B02475g,0,ChrB_C_glabrata_CBS138,235988,238159,2172,54,24.86,6395,23,6,428,0.29,325,0.15,163,35,42,0.075,0.0583,0.07,0.01
33,34,CAGL0B02651g,0,ChrB_C_glabrata_CBS138,253437,254862,1426,85,59.61,7681,5,15,427,0.698,149,0.10400000000000001,145,64,66,0.1017,0.1067,0.11,0.01
34,35,CAGL0B03223g,0,ChrB_C_glabrata_CBS138,314606,315305,700,8,11.43,156,19,30,274,0.209,240,0.34299999999999997,70,70,62,0.1,0.1167,0.1033,0.01
35,36,CAGL0B03355g,0,ChrB_C_glabrata_CBS138,326414,327267,854,2,2.34,15,5,5,191,0.061,411,0.48100000000000004,68,49,52,0.0796,0.0817,0.0867,0.155
36,37,CAGL0B03421g,0,ChrB_C_glabrata_CBS138,335968,341598,5631,123,21.84,7181,8,13,329,0.332,489,0.087,535,73,60,0.095,0.1217,0.1,0.0
37,38,CAGL0B03575g,0,ChrB_C_glabrata_CBS138,357472,358817,1346,8,5.94,196,1,11,562,0.053,278,0.207,114,68,50,0.0847,0.1133,0.0833,0.03
38,39,CAGL0B04059g,0,ChrB_C_glabrata_CBS138,398323,399557,1235,14,11.34,793,13,42,444,0.128,316,0.256,102,46,44,0.0826,0.0767,0.0733,0.0
39,40,CAGL0B04147g,0,ChrB_C_glabrata_CBS138,402682,405017,2336,32,13.7,677,3,1,453,0.151,450,0.193,211,53,65,0.0903,0.0883,0.1083,0.005
40,41,CAGL0B04389g,0,ChrB_C_glabrata_CBS138,427047,431370,4324,68,15.73,3246,28,14,637,0.12300000000000001,339,0.078,392,56,69,0.0907,0.0933,0.115,0.005
41,42,CAGL0B04521g,0,ChrB_C_glabrata_CBS138,438927,440855,1929,20,10.37,488,27,62,936,0.055,1063,0.551,154,39,49,0.0798,0.065,0.0817,0.215
42,43,CAGL0B04565g,0,ChrB_C_glabrata_CBS138,442882,444440,1559,65,41.69,2065,25,128,1171,0.17800000000000002,115,0.07400000000000001,122,60,43,0.0783,0.1,0.0717,0.015
43,44,CAGL0B04631g,0,ChrB_C_glabrata_CBS138,446892,450950,4059,193,47.55,9669,2,45,1385,0.172,223,0.055,404,53,71,0.0995,0.0883,0.1183,0.0
44,45,CAGL0B04895g,0,ChrB_C_glabrata_CBS138,470627,477519,6893,386,56.0,23250,59,7,1084,0.258,289,0.042,722,60,78,0.1047,0.1,0.13,0.05
45,46,CAGL0C00297g,0,ChrC_C_glabrata_CBS138,29187,31969,2783,11,3.95,145,22,4,214,0.092,2087,0.75,283,60,74,0.1017,0.1,0.1233,0.2
46,47,CAGL0C00583g,0,ChrC_C_glabrata_CBS138,62085,63603,1519,6,3.95,160,9,16,282,0.07,724,0.47700000000000004,137,62,61,0.0902,0.1033,0.1017,0.06
47,48,CAGL0C00693g,0,ChrC_C_glabrata_CBS138,72331,74194,1864,14,7.51,445,19,5,198,0.19,597,0.32,154,32,63,0.0826,0.0533,0.105,0.025
48,49,CAGL0C00781g,0,ChrC_C_glabrata_CBS138,81411,82193,783,8,10.22,283,33,0,133,0.384,350,0.447,45,60,54,0.0575,0.1,0.09,0.01
49,50,CAGL0C01463g,0,ChrC_C_glabrata_CBS138,160275,162637,2363,8,3.39,253,5,4,292,0.057999999999999996,1214,0.514,237,69,69,0.1003,0.115,0.115,0.21
50,51,CAGL0C01485g,0,ChrC_C_glabrata_CBS138,162873,164717,1845,25,13.55,2068,3,12,286,0.237,461,0.25,121,63,44,0.0656,0.105,0.0733,0.005
51,52,CAGL0C01551g,0,ChrC_C_glabrata_CBS138,168065,169932,1868,20,10.71,396,5,31,264,0.203,391,0.209,131,60,26,0.0701,0.1,0.0433,0.005
52,53,CAGL0C02211g,0,ChrC_C_glabrata_CBS138,224548,226813,2266,31,13.68,1293,16,15,296,0.231,731,0.32299999999999995,213,76,65,0.094,0.1267,0.1083,0.065
53,54,CAGL0C02277g,0,ChrC_C_glabrata_CBS138,230153,233291,3139,17,5.42,392,8,3,377,0.07200000000000001,777,0.248,279,61,51,0.0889,0.1017,0.085,0.01
54,55,CAGL0C02343g,0,ChrC_C_glabrata_CBS138,236112,239639,3528,99,28.06,8359,17,33,376,0.373,2178,0.617,256,68,46,0.0726,0.1133,0.0767,0.23
55,56,CAGL0C02365g,0,ChrC_C_glabrata_CBS138,238940,239122,183,7,38.25,211,6,48,294,0.6509999999999999,108,0.59,9,53,49,0.0492,0.0883,0.0817,0.085
56,57,CAGL0C02519g,0,ChrC_C_glabrata_CBS138,252907,255345,2439,87,35.67,4888,32,4,394,0.45299999999999996,330,0.135,146,51,39,0.0599,0.085,0.065,0.0
57,58,CAGL0C02717g,0,ChrC_C_glabrata_CBS138,275297,276499,1203,4,3.33,75,3,4,305,0.055,896,0.745,91,59,48,0.0756,0.0983,0.08,0.275
58,59,CAGL0C02739g,0,ChrC_C_glabrata_CBS138,276587,277341,755,3,3.97,318,5,8,295,0.067,455,0.603,57,49,60,0.0755,0.0817,0.1,0.155
59,60,CAGL0C02761g,0,ChrC_C_glabrata_CBS138,277448,278207,760,15,19.74,779,2,32,299,0.33,121,0.159,75,45,65,0.0987,0.075,0.1083,0.015
60,61,CAGL0C03311g,0,ChrC_C_glabrata_CBS138,333849,334588,740,25,33.78,708,8,35,375,0.45,255,0.345,58,71,37,0.0784,0.1183,0.0617,0.05
61,62,CAGL0C03333g,0,ChrC_C_glabrata_CBS138,335097,337588,2492,41,16.45,1941,43,7,415,0.198,310,0.124,228,40,51,0.0915,0.0667,0.085,0.0
62,63,CAGL0C03399g,0,ChrC_C_glabrata_CBS138,341637,343292,1656,22,13.29,697,31,12,344,0.193,293,0.177,135,54,57,0.0815,0.09,0.095,0.0
63,64,CAGL0C03608g,0,ChrC_C_glabrata_CBS138,360636,363000,2365,32,13.53,902,17,3,353,0.192,499,0.21100000000000002,155,25,49,0.0655,0.0417,0.0817,0.01
64,65,CAGL0C03872g,0,ChrC_C_glabrata_CBS138,379347,380367,1021,9,8.81,305,49,22,584,0.075,331,0.324,69,59,57,0.0676,0.0983,0.095,0.04
65,66,CAGL0C04048g,0,ChrC_C_glabrata_CBS138,399581,401707,2127,37,17.4,581,25,115,589,0.14800000000000002,208,0.098,200,59,50,0.094,0.0983,0.0833,0.0
66,67,CAGL0C05335g,0,ChrC_C_glabrata_CBS138,509074,510316,1243,35,28.16,1544,12,18,307,0.45899999999999996,194,0.156,75,61,52,0.0603,0.1017,0.0867,0.005
67,68,CAGL0C05357g,0,ChrC_C_glabrata_CBS138,510374,512104,1731,30,17.33,476,30,6,326,0.266,231,0.133,182,38,53,0.1051,0.0633,0.0883,0.01
68,69,CAGL0C05401g,0,ChrC_C_glabrata_CBS138,515623,515886,264,1,3.79,49,8,0,286,0.066,165,0.625,30,62,65,0.1136,0.1033,0.1083,0.21
69,70,CAGL0C05599g,0,ChrC_C_glabrata_CBS138,538455,541643,3189,25,7.84,454,4,21,224,0.175,514,0.161,375,76,58,0.1176,0.1267,0.0967,0.025
70,72,CAGL0D00242g,0,ChrD_C_glabrata_CBS138,30207,31485,1279,8,6.25,72,7,2,443,0.071,438,0.342,147,64,74,0.1149,0.1067,0.1233,0.095
71,73,CAGL0D00396g,0,ChrD_C_glabrata_CBS138,46316,46558,243,8,32.92,312,35,8,412,0.4,99,0.40700000000000003,23,51,71,0.0947,0.085,0.1183,0.04
72,74,CAGL0D00462g,0,ChrD_C_glabrata_CBS138,54947,57918,2972,24,8.08,1202,21,28,501,0.081,402,0.135,271,64,48,0.0912,0.1067,0.08,0.005
73,75,CAGL0D00682g,0,ChrD_C_glabrata_CBS138,88840,91298,2459,22,8.95,1022,1,11,302,0.14800000000000002,750,0.305,210,67,35,0.0854,0.1117,0.0583,0.015
74,76,CAGL0D01012g,0,ChrD_C_glabrata_CBS138,118364,123067,4704,11,2.34,219,5,35,187,0.063,1374,0.292,429,67,54,0.0912,0.1117,0.09,0.045
75,79,CAGL0D01210g,0,ChrD_C_glabrata_CBS138,137797,138919,1123,17,15.14,885,31,0,257,0.295,338,0.301,104,60,54,0.0926,0.1,0.09,0.0
76,80,CAGL0D01364g,0,ChrD_C_glabrata_CBS138,151847,155663,3817,28,7.34,3557,30,1,207,0.177,557,0.146,254,58,66,0.0665,0.0967,0.11,0.01
77,81,CAGL0D01430g,0,ChrD_C_glabrata_CBS138,158792,160419,1628,10,6.14,409,0,0,179,0.172,472,0.29,145,61,56,0.0891,0.1017,0.0933,0.005
78,83,CAGL0D01694g,0,ChrD_C_glabrata_CBS138,176854,178724,1871,8,4.28,270,5,9,136,0.157,1128,0.603,195,70,70,0.1042,0.1167,0.1167,0.175
