Standard name,id,short name,description
S000000001,YAL001C,TFC3,Transcription Factor class C
S000000002,YAL002W,VPS8,Vacuolar Protein Sorting
S000000003,YAL003W,EFB1,Elongation Factor Beta
S000000005,YAL007C,ERP2,Emp24p/Erv25p Related Protein
S000000006,YAL008W,FUN14,Function Unknown Now
S000000007,YAL009W,SPO7,SPOrulation
S000000008,YAL010C,MDM10,Mitochondrial Distribution and Morphology
S000000009,YAL011W,SWC3,SWr Complex
S000000010,YAL012W,CYS3,CYStathionine gamma-lyase
S000000011,YAL013W,DEP1,Disability in regulation of Expression of genes involved in Phospholipid biosynthesis
S000000012,YAL014C,SYN8,SYNtaxin
S000000013,YAL015C,NTG1,eNdonuclease Three-like Glycosylase
S000000014,YAL016W,TPD3,tRNA Processing Deficient
S000000015,YAL017W,PSK1,Pas domain-containing Serine/threonine protein Kinase
S000000016,YAL018C,LDS1,Lipid Droplets in Sporulation
S000000017,YAL019W,FUN30,Function Unknown Now
S000000018,YAL020C,ATS1,Alpha Tubulin Suppressor
S000000019,YAL021C,CCR4,Carbon Catabolite Repression
S000000020,YAL022C,FUN26,Function Unknown Now
S000000021,YAL023C,PMT2,Protein O-MannosylTransferase
S000000022,YAL024C,LTE1,Low Temperature Essential
S000000023,YAL025C,MAK16,MAintenance of Killer
S000000024,YAL026C,DRS2,Deficiency of Ribosomal Subunits
S000000025,YAL027W,SAW1,Single-strand Annealing Weakened
S000000026,YAL028W,FRT2,Functionally Related to TCP1
S000000027,YAL029C,MYO4,MYOsin
S000000028,YAL030W,SNC1,Suppressor of the Null allele of CAP
S000000029,YAL031C,GIP4,Glc7 Interacting Protein
S000000030,YAL032C,PRP45,Pre-mRNA Processing
S000000031,YAL033W,POP5,Processing Of Precursor RNAs
S000000032,YAL034W-A,MTW1,Mis TWelve-like
S000000033,YAL035W,FUN12,Function Unknown Now
S000000034,YAL036C,RBG1,RiBosome interacting Gtpase
S000000035,YAL037W,,
S000000036,YAL038W,CDC19,Cell Division Cycle
