,id,chrom,start,end
0,YAL069W,chrI,335,649
1,YAL068W-A,chrI,538,792
2,YAL068C,chrI,1807,2169
3,YAL067W-A,chrI,2480,2707
4,YAL067C,chrI,7235,9016
5,YAL066W,chrI,10091,10399
6,YAL065C,chrI,11565,11951
7,YAL064W-B,chrI,12046,12426
8,YAL064C-A,chrI,13363,13743
9,YAL064W,chrI,21566,21850
10,YAL063C-A,chrI,22395,22685
11,YAL063C,chrI,24000,27968
12,YAL062W,chrI,31567,32940
13,YAL061W,chrI,33448,34701
14,YAL060W,chrI,35155,36303
15,YAL059C-A,chrI,36496,36918
16,YAL059W,chrI,36509,37147
17,YAL058W,chrI,37464,38972
18,YAL056C-A,chrI,38696,39046
19,YAL056W,chrI,39259,41901
20,YAL055W,chrI,42177,42719
21,YAL054C,chrI,42881,45022
22,YAL053W,chrI,45899,48250
23,YAL051W,chrI,48564,51707
24,YAL049C,chrI,51855,52595
25,YAL048C,chrI,52801,54789
26,YAL047W-A,chrI,54584,54913
27,YAL047C,chrI,54989,56857
28,YAL046C,chrI,57029,57385
29,YAL045C,chrI,57488,57796
30,YAL044W-A,chrI,57518,57850
31,YAL044C,chrI,57950,58462
32,YAL043C,chrI,58695,61052
33,YAL042C-A,chrI,61231,61608
34,YAL042W,chrI,61316,62563
35,YAL041W,chrI,62840,65404
36,YAL040C,chrI,65778,67520
37,YAL039C,chrI,68716,69525
38,YAL038W,chrI,71786,73288
39,YAL037C-B,chrI,72326,73300
40,YAL037C-A,chrI,73426,73518
41,YAL037W,chrI,74020,74823
42,YAL036C,chrI,75043,76152
43,YAL035W,chrI,76427,79435
44,YAL034C-B,chrI,79489,79842
45,YAL034W-A,chrI,79718,80587
46,YAL034C,chrI,80710,81951
47,YAL033W,chrI,82706,83227
48,YAL032C,chrI,83335,84474
49,YAL031W-A,chrI,84669,84977
50,YAL031C,chrI,84749,87031
51,YAL030W,chrI,87286,87752
52,YAL029C,chrI,87855,92270
53,YAL028W,chrI,92900,94486
54,YAL027W,chrI,94687,95472
55,YAL026C-A,chrI,95386,95823
56,YAL026C,chrI,95630,99697
57,YAL025C,chrI,100225,101145
58,YAL024C,chrI,101565,105872
59,YAL023C,chrI,106272,108551
60,YAL022C,chrI,108877,110430
61,YAL021C,chrI,110846,113359
62,YAL020C,chrI,113614,114615
63,YAL019W-A,chrI,114250,114819
64,YAL019W,chrI,114919,118314
65,YAL018C,chrI,118564,119541
66,YAL017W,chrI,120225,124295
67,YAL016C-B,chrI,124307,124492
68,YAL016C-A,chrI,124755,125069
69,YAL016W,chrI,124879,126786
70,YAL015C,chrI,126903,128102
71,YAL014C,chrI,128252,129019
72,YAL013W,chrI,129270,130487
73,YAL012W,chrI,130799,131983
74,YAL011W,chrI,132199,134076
75,YAL010C,chrI,134184,135665
76,YAL009W,chrI,135854,136633
77,YAL008W,chrI,136914,137510
78,YAL007C,chrI,137698,138345
79,YAL005C,chrI,139503,141431
80,YAL004W,chrI,140760,141407
81,YAL003W,chrI,142174,143160
82,YAL002W,chrI,143707,147531
83,YAL001C,chrI,147594,151166
84,YAR002W,chrI,152257,153876
85,YAR002C-A,chrI,154065,154724
86,YAR003W,chrI,155005,156285
87,YAR007C,chrI,156754,158619
88,YAR008W,chrI,158966,159793
89,YAR014C,chrI,166742,168871
90,YAR015W,chrI,169375,170295
91,YAR018C,chrI,170396,171703
92,YAR019C,chrI,172211,175135
93,YAR019W-A,chrI,174998,175330
94,YAR020C,chrI,176856,177023
95,YAR023C,chrI,179281,179820
96,YAR027W,chrI,183770,184477
97,YAR028W,chrI,184892,185596
98,YAR029W,chrI,186321,186545
99,YAR030C,chrI,186512,186853
100,YAR031W,chrI,186836,187732
101,YAR033W,chrI,188107,188811
102,YAR035W,chrI,190193,192256
103,YAR035C-A,chrI,192337,192417
104,YAR042W,chrI,192619,196185
105,YAR047C,chrI,201467,201787
106,YAR050W,chrI,203403,208016
107,YAR053W,chrI,208367,208663
108,YAR060C,chrI,217157,217492
109,YAR064W,chrI,220198,220497
110,YAR066W,chrI,221049,221660
111,YAR068W,chrI,222406,222891
112,YAR069C,chrI,224011,224304
113,YAR070C,chrI,224563,224862
114,YAR071W,chrI,225460,226863
115,YAR073W,chrI,227742,228953
116,YAR075W,chrI,228844,229317
117,YBL113C,chrII,280,2658
118,YBL113W-A,chrII,646,1128
119,YBL112C,chrII,2582,2899
120,YBL111C,chrII,2907,5009
121,YBL109W,chrII,5790,6125
122,YBL108C-A,chrII,7605,7733
123,YBL108W,chrII,8177,8482
124,YBL107W-A,chrII,9268,9372
125,YBL107C,chrII,9961,10551
126,YBL106C,chrII,10847,13879
127,YBL105C,chrII,14241,17696
128,YBL104C,chrII,18177,21293
129,YBL103C,chrII,22076,23536
130,YBL102W,chrII,24098,24745
131,YBL101C,chrII,24946,28299
132,YBL100W-C,chrII,28427,28546
133,YBL100C,chrII,36989,37303
134,YBL099W,chrII,37053,38690
135,YBL098W,chrII,39145,40527
136,YBL097W,chrII,40831,43095
137,YBL096C,chrII,43174,43482
138,YBL095W,chrII,43277,44089
139,YBL094C,chrII,43765,44097
140,YBL093C,chrII,44256,44918
141,YBL092W,chrII,45645,46370
142,YBL091C-A,chrII,46565,47180
143,YBL091C,chrII,47363,48628
144,YBL090W,chrII,48825,49358
145,YBL089W,chrII,49574,50953
146,YBL088C,chrII,51019,59382
147,YBL087C,chrII,59822,60739
148,YBL086C,chrII,61202,62602
149,YBL085W,chrII,63876,66818
150,YBL084C,chrII,67169,69445
151,YBL083C,chrII,69713,70138
152,YBL082C,chrII,69751,71127
153,YBL081W,chrII,71866,72972
154,YBL080C,chrII,73070,74695
155,YBL079W,chrII,75259,79767
156,YBL078C,chrII,80378,80731
157,YBL077W,chrII,80897,81328
158,YBL076C,chrII,81043,84261
159,YBL075C,chrII,84499,86448
160,YBL074C,chrII,86722,87789
161,YBL073W,chrII,87646,87957
162,YBL072C,chrII,88523,89440
163,YBL071C-B,chrII,89458,89556
164,YBL071W-A,chrII,89978,90226
165,YBL071C,chrII,90223,90531
166,YBL070C,chrII,90605,90925
167,YBL069W,chrII,90741,92030
