,id,chrom,start,end,target_seq_counts,500bp_up_target_seq_counts,500bp_down_target_seq_counts,length,target_per_bp,up_target_per_bp,down_target_per_bp
0,CAGL0A00105g,ChrA_C_glabrata_CBS138,1608,2636,66,54,20,1029,0.064139941691,0.108,0.04
1,CAGL0A00116g,ChrA_C_glabrata_CBS138,2671,4809,141,33,68,2139,0.0659186535764,0.066,0.136
2,CAGL0A00132g,ChrA_C_glabrata_CBS138,11697,13042,159,65,72,1346,0.118127786033,0.13,0.144
3,CAGL0A00154g,ChrA_C_glabrata_CBS138,14977,15886,112,60,52,910,0.123076923077,0.12,0.104
4,CAGL0A00165g,ChrA_C_glabrata_CBS138,17913,19017,128,52,53,1105,0.115837104072,0.104,0.106
5,CAGL0A00187g,ChrA_C_glabrata_CBS138,19120,21857,230,60,32,2738,0.0840029218408,0.12,0.064
6,CAGL0A00209g,ChrA_C_glabrata_CBS138,22057,24493,198,28,55,2437,0.0812474353714,0.056,0.11
7,CAGL0A00231g,ChrA_C_glabrata_CBS138,24957,27649,244,60,66,2693,0.0906052729298,0.12,0.132
8,CAGL0A00253g,ChrA_C_glabrata_CBS138,27686,28779,108,48,44,1094,0.0987202925046,0.096,0.088
9,CAGL0A00275g,ChrA_C_glabrata_CBS138,28538,30395,161,40,48,1858,0.0866523143165,0.08,0.096
10,CAGL0A00297g,ChrA_C_glabrata_CBS138,29618,31199,151,33,53,1582,0.0954487989886,0.066,0.106
11,CAGL0A00319g,ChrA_C_glabrata_CBS138,30897,32583,161,48,57,1687,0.0954356846473,0.096,0.114
12,CAGL0A00341g,ChrA_C_glabrata_CBS138,32727,33858,118,54,72,1132,0.104240282686,0.108,0.144
13,CAGL0A00363g,ChrA_C_glabrata_CBS138,33938,36387,230,61,34,2450,0.0938775510204,0.122,0.068
14,CAGL0A00385g,ChrA_C_glabrata_CBS138,36449,40397,372,39,59,3949,0.0942010635604,0.078,0.118
15,CAGL0A00407g,ChrA_C_glabrata_CBS138,40758,42735,211,55,46,1978,0.106673407482,0.11,0.092
16,CAGL0A00429g,ChrA_C_glabrata_CBS138,41622,47116,493,53,53,5495,0.0897179253867,0.106,0.106
17,CAGL0A00451g,ChrA_C_glabrata_CBS138,44303,51186,669,49,53,6884,0.0971818710052,0.098,0.106
18,CAGL0A00473g,ChrA_C_glabrata_CBS138,51035,53637,237,50,48,2603,0.0910487898579,0.1,0.096
19,CAGL0A00495g,ChrA_C_glabrata_CBS138,53688,57757,331,49,35,4070,0.0813267813268,0.098,0.07
20,CAGL0A00517g,ChrA_C_glabrata_CBS138,58583,62513,256,19,48,3931,0.0651233782752,0.038,0.096
21,CAGL0A00539g,ChrA_C_glabrata_CBS138,62388,63507,112,47,51,1120,0.1,0.094,0.102
22,CAGL0A00561g,ChrA_C_glabrata_CBS138,63558,64997,124,47,52,1440,0.0861111111111,0.094,0.104
23,CAGL0A00583g,ChrA_C_glabrata_CBS138,65093,67444,243,52,50,2352,0.103316326531,0.104,0.1
24,CAGL0A00605g,ChrA_C_glabrata_CBS138,67119,70367,298,55,56,3249,0.0917205293937,0.11,0.112
25,CAGL0A00627g,ChrA_C_glabrata_CBS138,69627,70612,91,48,64,986,0.0922920892495,0.096,0.128
26,CAGL0A00649g,ChrA_C_glabrata_CBS138,70937,71320,45,62,55,384,0.1171875,0.124,0.11
27,CAGL0A00715g,ChrA_C_glabrata_CBS138,73333,73623,17,50,39,291,0.0584192439863,0.1,0.078
28,CAGL0A00737g,ChrA_C_glabrata_CBS138,74737,76560,165,45,52,1824,0.0904605263158,0.09,0.104
29,CAGL0A00781g,ChrA_C_glabrata_CBS138,77494,81497,463,66,57,4004,0.115634365634,0.132,0.114
30,CAGL0A00803g,ChrA_C_glabrata_CBS138,80753,85553,494,66,41,4801,0.10289523016,0.132,0.082
31,CAGL0A00825g,ChrA_C_glabrata_CBS138,84864,86594,161,44,51,1731,0.0930098209128,0.088,0.102
32,CAGL0A00847g,ChrA_C_glabrata_CBS138,86383,87887,172,46,54,1505,0.114285714286,0.092,0.108
33,CAGL0A00869g,ChrA_C_glabrata_CBS138,87716,90471,317,57,44,2756,0.115021770682,0.114,0.088
34,CAGL0A00891g,ChrA_C_glabrata_CBS138,90297,92857,242,57,34,2561,0.0944943381492,0.114,0.068
35,CAGL0A00913g,ChrA_C_glabrata_CBS138,92916,98093,537,42,37,5178,0.103707995365,0.084,0.074
36,CAGL0A00935g,ChrA_C_glabrata_CBS138,96494,98116,156,62,35,1623,0.0961182994455,0.124,0.07
37,CAGL0A00957g,ChrA_C_glabrata_CBS138,98004,99814,160,35,56,1811,0.0883489784649,0.07,0.112
38,CAGL0A00979g,ChrA_C_glabrata_CBS138,99217,100939,179,45,30,1723,0.103888566454,0.09,0.06
39,CAGL0A01001g,ChrA_C_glabrata_CBS138,101597,102702,76,30,23,1106,0.0687160940325,0.06,0.046
40,CAGL0A01023g,ChrA_C_glabrata_CBS138,102766,104328,115,42,53,1563,0.0735764555342,0.084,0.106
41,CAGL0A01045g,ChrA_C_glabrata_CBS138,103980,106575,168,38,27,2596,0.0647149460709,0.076,0.054
42,CAGL0A01067g,ChrA_C_glabrata_CBS138,106776,108829,143,23,56,2054,0.0696202531646,0.046,0.112
43,CAGL0A01089g,ChrA_C_glabrata_CBS138,108879,111121,171,59,23,2243,0.0762371823451,0.118,0.046
44,CAGL0A01111g,ChrA_C_glabrata_CBS138,110834,111819,63,27,31,986,0.0638945233266,0.054,0.062
45,CAGL0A01133g,ChrA_C_glabrata_CBS138,111841,114593,230,32,45,2753,0.0835452233927,0.064,0.09
46,CAGL0A01155g,ChrA_C_glabrata_CBS138,114664,116830,201,48,40,2167,0.0927549607753,0.096,0.08
47,CAGL0A01177g,ChrA_C_glabrata_CBS138,116987,120139,167,45,31,3153,0.0529654297494,0.09,0.062
48,CAGL0A01193g,ChrA_C_glabrata_CBS138,119731,120042,9,15,36,312,0.0288461538462,0.03,0.072
