,Standard name,Sc∆ essentiality,Sp∆ essentiality,Final usage in training,Unnamed: 0,id,chrom,start,end,Length,Hits,Reads,Hits_600_bp_upstream,Hits_600_bp_downstream,Neighbourhood Hits,Neighbourhood Index,Max Free Region,Freedom Index,target_seq_counts,600_bp_up_target_seq_counts,600_bp_down_target_seq_counts,target_per_bp,600_up_target_per_bp,600_down_target_per_bp,short name,description
0,S000001608,Ess,Ess,Essential,3701,YKL125W,chrXI,208247,210130,1884,2,19,16,53,545,0.01,1833,0.973,184,61,74,0.0977,0.1017,0.1233,RRN3,Regulation of RNA polymerase I
1,S000001353,Ess,Ess,Essential,3049,YIL091C,chrIX,191030,193195,2166,0,0,15,3,391,0.0,2166,1.0,227,54,42,0.1048,0.09,0.07,UTP25,U Three Protein
2,S000001284,Ess,Ess,Essential,3123,YIL022W,chrIX,311165,312460,1296,1,1,29,9,451,0.009000000000000001,1284,0.991,91,60,57,0.0702,0.1,0.095,TIM44,Translocase of the Inner Mitochondrial membrane
3,S000001283,Ess,Ess,Essential,3124,YIL021W,chrIX,312905,313861,957,4,48,10,18,424,0.049,845,0.883,90,52,57,0.094,0.0867,0.095,RPB3,RNA Polymerase B
4,S000003280,Ess,Ess,Essential,2377,YGR048W,chrVII,589826,590911,1086,1,3,1,28,826,0.006,913,0.841,91,53,59,0.0838,0.0883,0.0983,UFD1,Ubiquitin Fusion Degradation protein
5,S000006014,Ess,Ess,Essential,6260,YPL093W,chrXVI,370978,372921,1944,3,20,2,68,577,0.013000000000000001,1691,0.87,172,41,57,0.0885,0.0683,0.095,NOG1,NucleOlar G-protein
6,S000000914,Ess,Ess,Essential,1823,YER112W,chrV,387232,387795,564,7,120,15,14,420,0.14800000000000002,340,0.603,53,63,73,0.094,0.105,0.1217,LSM4,Like SM
7,S000002552,Ess,Ess,Essential,1169,YDR145W,chrIV,746738,748357,1620,1,4,29,13,424,0.006999999999999999,1514,0.935,121,65,77,0.0747,0.1083,0.1283,TAF12,TATA binding protein-Associated Factor
8,S000001288,Ess,Ess,Essential,3119,YIL026C,chrIX,304477,307929,3453,5,83,29,9,362,0.02,3178,0.92,358,70,46,0.1037,0.1167,0.0767,IRR1,IRRegular cell behavior
9,S000003605,Ess,Ess,Essential,3364,YJL069C,chrX,310922,312706,1785,1,5,11,9,268,0.01,1779,0.997,168,65,50,0.0941,0.1083,0.0833,UTP18,U Three Protein
10,S000000180,Ess,Ess,Essential,150,YBL084C,chrII,67169,69445,2277,2,11,6,9,371,0.012,2228,0.978,254,69,45,0.1116,0.115,0.075,CDC27,Cell Division Cycle
11,S000002739,Ess,Ess,Essential,1364,YDR331W,chrIV,1129588,1130823,1236,2,39,26,14,354,0.023,1100,0.89,122,54,66,0.0987,0.09,0.11,GPI8,GlycosylPhosphatidylInositol anchor biosynthesis
12,S000002736,Ess,Ess,Essential,1361,YDR328C,chrIV,1125434,1126018,585,3,56,36,13,301,0.085,578,0.988,38,60,52,0.065,0.1,0.0867,SKP1,Suppressor of Kinetochore Protein mutant
13,S000003608,Ess,Ess,Essential,3361,YJL072C,chrX,305221,305862,642,1,2,6,14,203,0.038,602,0.938,57,59,60,0.0888,0.0983,0.1,PSF2,Partner of Sld Five
